module_name	cohort	total_discovery_genes	externally_mapped_genes	coverage_fraction	duplicate_mappings	eligibility_status	exclusion_reason	notes
MEblack	TCGA_PAAD	270	258	0.9556	0	ELIGIBLE	None	Microarray platforms GSE71729 and GSE62452 failed the 80% coverage rule for all modules due to absence of non-coding RNA genes.
MEblue	TCGA_PAAD	1691	1607	0.9503	0	ELIGIBLE	None	Microarray platforms GSE71729 and GSE62452 failed the 80% coverage rule for all modules due to absence of non-coding RNA genes.
MEgreen	TCGA_PAAD	515	506	0.9825	0	ELIGIBLE	None	Microarray platforms GSE71729 and GSE62452 failed the 80% coverage rule for all modules due to absence of non-coding RNA genes.
MEred	TCGA_PAAD	354	342	0.9661	0	ELIGIBLE	None	Microarray platforms GSE71729 and GSE62452 failed the 80% coverage rule for all modules due to absence of non-coding RNA genes.
MEtan	TCGA_PAAD	103	103	1.0000	0	ELIGIBLE	None	Microarray platforms GSE71729 and GSE62452 failed the 80% coverage rule for all modules due to absence of non-coding RNA genes.
MEgreenyellow	TCGA_PAAD	166	156	0.9398	0	ELIGIBLE	None	Microarray platforms GSE71729 and GSE62452 failed the 80% coverage rule for all modules due to absence of non-coding RNA genes.
MEpurple	TCGA_PAAD	200	195	0.9750	0	ELIGIBLE	None	Microarray platforms GSE71729 and GSE62452 failed the 80% coverage rule for all modules due to absence of non-coding RNA genes.
MEblack	GSE71729	270	65	0.2407	0	INELIGIBLE_LOW_COVERAGE	Coverage fraction is below the locked 80% threshold (0.80).	Microarray platforms GSE71729 and GSE62452 failed the 80% coverage rule for all modules due to absence of non-coding RNA genes.
MEblue	GSE71729	1691	488	0.2886	0	INELIGIBLE_LOW_COVERAGE	Coverage fraction is below the locked 80% threshold (0.80).	Microarray platforms GSE71729 and GSE62452 failed the 80% coverage rule for all modules due to absence of non-coding RNA genes.
MEgreen	GSE71729	515	173	0.3359	0	INELIGIBLE_LOW_COVERAGE	Coverage fraction is below the locked 80% threshold (0.80).	Microarray platforms GSE71729 and GSE62452 failed the 80% coverage rule for all modules due to absence of non-coding RNA genes.
MEred	GSE71729	354	138	0.3898	0	INELIGIBLE_LOW_COVERAGE	Coverage fraction is below the locked 80% threshold (0.80).	Microarray platforms GSE71729 and GSE62452 failed the 80% coverage rule for all modules due to absence of non-coding RNA genes.
MEtan	GSE71729	103	66	0.6408	0	INELIGIBLE_LOW_COVERAGE	Coverage fraction is below the locked 80% threshold (0.80).	Microarray platforms GSE71729 and GSE62452 failed the 80% coverage rule for all modules due to absence of non-coding RNA genes.
MEgreenyellow	GSE71729	166	50	0.3012	0	INELIGIBLE_LOW_COVERAGE	Coverage fraction is below the locked 80% threshold (0.80).	Microarray platforms GSE71729 and GSE62452 failed the 80% coverage rule for all modules due to absence of non-coding RNA genes.
MEpurple	GSE71729	200	32	0.1600	0	INELIGIBLE_LOW_COVERAGE	Coverage fraction is below the locked 80% threshold (0.80).	Microarray platforms GSE71729 and GSE62452 failed the 80% coverage rule for all modules due to absence of non-coding RNA genes.
MEblack	GSE62452	270	76	0.2815	0	INELIGIBLE_LOW_COVERAGE	Coverage fraction is below the locked 80% threshold (0.80).	Microarray platforms GSE71729 and GSE62452 failed the 80% coverage rule for all modules due to absence of non-coding RNA genes.
MEblue	GSE62452	1691	601	0.3554	0	INELIGIBLE_LOW_COVERAGE	Coverage fraction is below the locked 80% threshold (0.80).	Microarray platforms GSE71729 and GSE62452 failed the 80% coverage rule for all modules due to absence of non-coding RNA genes.
MEgreen	GSE62452	515	205	0.3981	0	INELIGIBLE_LOW_COVERAGE	Coverage fraction is below the locked 80% threshold (0.80).	Microarray platforms GSE71729 and GSE62452 failed the 80% coverage rule for all modules due to absence of non-coding RNA genes.
MEred	GSE62452	354	148	0.4181	0	INELIGIBLE_LOW_COVERAGE	Coverage fraction is below the locked 80% threshold (0.80).	Microarray platforms GSE71729 and GSE62452 failed the 80% coverage rule for all modules due to absence of non-coding RNA genes.
MEtan	GSE62452	103	67	0.6505	0	INELIGIBLE_LOW_COVERAGE	Coverage fraction is below the locked 80% threshold (0.80).	Microarray platforms GSE71729 and GSE62452 failed the 80% coverage rule for all modules due to absence of non-coding RNA genes.
MEgreenyellow	GSE62452	166	62	0.3735	0	INELIGIBLE_LOW_COVERAGE	Coverage fraction is below the locked 80% threshold (0.80).	Microarray platforms GSE71729 and GSE62452 failed the 80% coverage rule for all modules due to absence of non-coding RNA genes.
MEpurple	GSE62452	200	39	0.1950	0	INELIGIBLE_LOW_COVERAGE	Coverage fraction is below the locked 80% threshold (0.80).	Microarray platforms GSE71729 and GSE62452 failed the 80% coverage rule for all modules due to absence of non-coding RNA genes.
