discovery_feature	cohorts_available	gene_coverage	cohort_specific_directions	effect_sizes	confidence_intervals	replication_test_result	negative_control_support	locked_category	reviewer_category	reviewer_notes
HALLMARK_PROTEIN_SECRETION	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:15/15(1); GSE71729:15/15(1); GSE62452:12/15(0.8)	TCGA_PAAD:negative; GSE71729:positive; GSE62452:negative	TCGA_PAAD:-0.0013; GSE71729:0.0005; GSE62452:-0.0003	TCGA_PAAD:[-0.0026, -0.0001]; GSE71729:[-0.0033, 0.0044]; GSE62452:[-0.0033, 0.0026]	TCGA_PAAD:sig(q=0.03945); GSE71729:non-sig(q=0.7816); GSE62452:non-sig(q=0.8169)	Yes	PARTIALLY_REPLICATED_HOST_FEATURE	TO_VERIFY	Scored using rank-mean on 15-gene proxy rather than ssGSEA on full Hallmark set. Rerun required.
HALLMARK_SPERMATOGENESIS	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:15/15(1); GSE71729:14/15(0.933); GSE62452:15/15(1)	TCGA_PAAD:positive; GSE71729:positive; GSE62452:positive	TCGA_PAAD:0.0082; GSE71729:0.0108; GSE62452:0.0162	TCGA_PAAD:[0.0044, 0.0119]; GSE71729:[0.0047, 0.0169]; GSE62452:[0.0012, 0.0312]	TCGA_PAAD:sig(q=4.614e-05); GSE71729:sig(q=0.001019); GSE62452:non-sig(q=0.06771)	No	NOT_REPLICATED	NOT_REPLICATED	Opposite direction (positive) across all cohorts compared to discovery (negative).
BHLHE40	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1); GSE71729:1/1(1); GSE62452:1/1(1)	TCGA_PAAD:positive; GSE71729:positive; GSE62452:positive	TCGA_PAAD:0.1724; GSE71729:0.1395; GSE62452:0.0898	TCGA_PAAD:[0.0211, 0.3238]; GSE71729:[-0.0191, 0.2981]; GSE62452:[-0.1222, 0.3018]	TCGA_PAAD:non-sig(q=0.06683); GSE71729:non-sig(q=0.3106); GSE62452:non-sig(q=0.7622)	No	NOT_REPLICATED	TO_VERIFY	decoupleR/VIPER was not run; proxy single-gene expression used instead. Rerun required.
CTCFL	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1); GSE71729:1/1(1); GSE62452:1/1(1)	TCGA_PAAD:negative; GSE71729:positive; GSE62452:positive	TCGA_PAAD:-0.0084; GSE71729:0.0412; GSE62452:0.1316	TCGA_PAAD:[-0.1335, 0.1166]; GSE71729:[-0.1801, 0.2625]; GSE62452:[-0.0818, 0.3450]	TCGA_PAAD:non-sig(q=0.9223); GSE71729:non-sig(q=0.8784); GSE62452:non-sig(q=0.7294)	No	PARTIALLY_REPLICATED_HOST_FEATURE	TO_VERIFY	decoupleR/VIPER was not run; proxy single-gene expression used instead. Rerun required.
E2F6	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1); GSE71729:1/1(1); GSE62452:1/1(1)	TCGA_PAAD:positive; GSE71729:positive; GSE62452:negative	TCGA_PAAD:0.0776; GSE71729:0.0292; GSE62452:-0.0627	TCGA_PAAD:[-0.0692, 0.2244]; GSE71729:[-0.1382, 0.1967]; GSE62452:[-0.3269, 0.2014]	TCGA_PAAD:non-sig(q=0.5568); GSE71729:non-sig(q=0.8784); GSE62452:non-sig(q=0.8092)	No	PARTIALLY_REPLICATED_HOST_FEATURE	TO_VERIFY	decoupleR/VIPER was not run; proxy single-gene expression used instead. Rerun required.
ELF1	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1); GSE71729:1/1(1); GSE62452:1/1(1)	TCGA_PAAD:negative; GSE71729:negative; GSE62452:negative	TCGA_PAAD:-0.2220; GSE71729:-0.1189; GSE62452:-0.1741	TCGA_PAAD:[-0.3936, -0.0503]; GSE71729:[-0.2703, 0.0324]; GSE62452:[-0.4242, 0.0759]	TCGA_PAAD:sig(q=0.03829); GSE71729:non-sig(q=0.3486); GSE62452:non-sig(q=0.7294)	No	NOT_REPLICATED	TO_VERIFY	decoupleR/VIPER was not run; proxy single-gene expression used instead. Rerun required.
FOXK2	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1); GSE71729:1/1(1); GSE62452:1/1(1)	TCGA_PAAD:positive; GSE71729:positive; GSE62452:positive	TCGA_PAAD:0.2877; GSE71729:0.3881; GSE62452:0.2240	TCGA_PAAD:[0.0727, 0.5028]; GSE71729:[0.2199, 0.5562]; GSE62452:[-0.0221, 0.4701]	TCGA_PAAD:sig(q=0.03829); GSE71729:sig(q=6.685e-05); GSE62452:non-sig(q=0.4466)	No	TO_VERIFY	TO_VERIFY	decoupleR/VIPER was not run; proxy single-gene expression used instead. Rerun required.
GFI1B	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1); GSE71729:1/1(1); GSE62452:0/1(0)	TCGA_PAAD:negative; GSE71729:negative; GSE62452:neutral	TCGA_PAAD:-0.3489; GSE71729:-0.0729; GSE62452:nan	TCGA_PAAD:[-0.5150, -0.1827]; GSE71729:[-0.2552, 0.1093]; GSE62452:[nan, nan]	TCGA_PAAD:sig(q=0.0004377); GSE71729:non-sig(q=0.7864); GSE62452:non-sig(q=nan)	No	NOT_REPLICATED	TO_VERIFY	decoupleR/VIPER was not run; proxy single-gene expression used instead. Rerun required.
GRHL2	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1); GSE71729:1/1(1); GSE62452:1/1(1)	TCGA_PAAD:negative; GSE71729:positive; GSE62452:positive	TCGA_PAAD:-0.0643; GSE71729:0.0111; GSE62452:0.0334	TCGA_PAAD:[-0.2259, 0.0974]; GSE71729:[-0.1626, 0.1849]; GSE62452:[-0.1371, 0.2038]	TCGA_PAAD:non-sig(q=0.6738); GSE71729:non-sig(q=0.9495); GSE62452:non-sig(q=0.8092)	No	PARTIALLY_REPLICATED_HOST_FEATURE	TO_VERIFY	decoupleR/VIPER was not run; proxy single-gene expression used instead. Rerun required.
IRF3	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1); GSE71729:1/1(1); GSE62452:1/1(1)	TCGA_PAAD:positive; GSE71729:negative; GSE62452:positive	TCGA_PAAD:0.0588; GSE71729:-0.0422; GSE62452:0.2065	TCGA_PAAD:[-0.1127, 0.2303]; GSE71729:[-0.2515, 0.1671]; GSE62452:[-0.0724, 0.4854]	TCGA_PAAD:non-sig(q=0.7254); GSE71729:non-sig(q=0.8784); GSE62452:non-sig(q=0.7294)	No	PARTIALLY_REPLICATED_HOST_FEATURE	TO_VERIFY	decoupleR/VIPER was not run; proxy single-gene expression used instead. Rerun required.
