cohort	feature_layer	feature_name	gene_coverage	eligible_for_validation	coefficient	ci_low	ci_high	p_value	q_value	discovery_direction	external_direction	replication_status	exclusion_reason	notes
"TCGA_PAAD"	"state"	"Moffitt49_no_LEMD1"	NA	TRUE	1.00702191428787	1.00177020888115	1.01227361969458	1.37183690307908e-257	2.74367380615816e-257	"positive"	"positive"	"SUPPORTED"	""	"HC3 OLS: feature_score ~ Moffitt50_contrast"
"TCGA_PAAD"	"state"	"PurIST_probability"	1	TRUE	0.219082669709842	0.171351575150202	0.266813764269482	3.67477350720287e-16	3.67477350720287e-16	"positive"	"positive"	"SUPPORTED"	""	"HC3 OLS: feature_score ~ Moffitt50_contrast"
"TCGA_PAAD"	"hallmark"	"HALLMARK_PROTEIN_SECRETION"	1	TRUE	-0.00181525505655412	-0.00467776595097468	0.00104725583786643	0.215547031219886	0.431094062439773	"negative"	"negative"	"DIRECTION_ONLY"	""	"HC3 OLS: feature_score ~ Moffitt50_contrast"
"TCGA_PAAD"	"hallmark"	"HALLMARK_SPERMATOGENESIS"	0.992592592592593	TRUE	0.000371256734787437	-0.0040078241596801	0.00475033762925498	0.868215461556901	0.868215461556901	"negative"	"positive"	"NOT_SUPPORTED"	""	"HC3 OLS: feature_score ~ Moffitt50_contrast"
"TCGA_PAAD"	"module"	"MEblack"	0.955555555555556	TRUE	0.0090646451866561	0.0055553878998812	0.012573902473431	1.03498146544303e-06	2.41495675270041e-06	"positive"	"positive"	"SUPPORTED"	""	"HC3 OLS: feature_score ~ Moffitt50_contrast"
"TCGA_PAAD"	"module"	"MEblue"	0.950325251330574	TRUE	0.0115206025014869	0.00782875207018592	0.0152124529327879	6.02970433199648e-09	2.11039651619877e-08	"positive"	"positive"	"SUPPORTED"	""	"HC3 OLS: feature_score ~ Moffitt50_contrast"
"TCGA_PAAD"	"module"	"MEgreen"	0.98252427184466	TRUE	-0.0246529703575503	-0.0297960499936957	-0.0195098907214048	2.99996691312883e-17	2.09997683919018e-16	"negative"	"negative"	"SUPPORTED"	""	"HC3 OLS: feature_score ~ Moffitt50_contrast"
"TCGA_PAAD"	"module"	"MEred"	0.966101694915254	TRUE	0.000239801210143105	-0.00582554595743566	0.00630514837772186	0.938320902431201	0.938320902431201	"negative"	"positive"	"NOT_SUPPORTED"	""	"HC3 OLS: feature_score ~ Moffitt50_contrast"
"TCGA_PAAD"	"module"	"MEtan"	1	TRUE	-0.0112472377431708	-0.0165855020542591	-0.00590897343208253	5.60719651643752e-05	9.81259390376566e-05	"negative"	"negative"	"SUPPORTED"	""	"HC3 OLS: feature_score ~ Moffitt50_contrast"
"TCGA_PAAD"	"module"	"MEgreenyellow"	0.939759036144578	TRUE	0.00341540558790382	-0.000826302712326974	0.00765711388813461	0.116319050316461	0.162846670443045	"positive"	"positive"	"DIRECTION_ONLY"	""	"HC3 OLS: feature_score ~ Moffitt50_contrast"
"TCGA_PAAD"	"module"	"MEpurple"	0.975	TRUE	0.00969371755738132	-0.00521336388945561	0.0246007990042183	0.2041519416997	0.238177265316317	"negative"	"positive"	"NOT_SUPPORTED"	""	"HC3 OLS: feature_score ~ Moffitt50_contrast"
"TCGA_PAAD"	"tf_activity"	"BHLHE40"	NA	TRUE	-0.0347753779425701	-0.105421718911093	0.0358709630259529	0.335967717412359	0.565149258578158	"negative"	"negative"	"DIRECTION_ONLY"	""	"HC3 OLS: feature_score ~ Moffitt50_contrast"
"TCGA_PAAD"	"tf_activity"	"CTCFL"	NA	TRUE	0.0766720925154367	0.0210174232332436	0.13232676179763	0.00760685174652163	0.0646582398454338	"positive"	"positive"	"SUPPORTED"	""	"HC3 OLS: feature_score ~ Moffitt50_contrast"
"TCGA_PAAD"	"tf_activity"	"E2F6"	NA	TRUE	-0.0209835683915064	-0.0748103514248728	0.0328432146418599	0.445844635228473	0.583027599914156	"negative"	"negative"	"DIRECTION_ONLY"	""	"HC3 OLS: feature_score ~ Moffitt50_contrast"
"TCGA_PAAD"	"tf_activity"	"ELF1"	NA	TRUE	0.00798408221923015	-0.0443655783000792	0.0603337427385395	0.765347334547458	0.845505410729912	"positive"	"positive"	"DIRECTION_ONLY"	""	"HC3 OLS: feature_score ~ Moffitt50_contrast"
"TCGA_PAAD"	"tf_activity"	"FOXK2"	NA	TRUE	-0.00786497428866726	-0.0546439265243976	0.0389139779470631	0.742142428675406	0.845505410729912	"positive"	"negative"	"NOT_SUPPORTED"	""	"HC3 OLS: feature_score ~ Moffitt50_contrast"
"TCGA_PAAD"	"tf_activity"	"GFI1B"	NA	TRUE	-0.0173425215489747	-0.0558655981265994	0.0211805550286499	0.378784003255373	0.583027599914156	"positive"	"negative"	"NOT_SUPPORTED"	""	"HC3 OLS: feature_score ~ Moffitt50_contrast"
"TCGA_PAAD"	"tf_activity"	"GRHL2"	NA	TRUE	-0.0653994630252684	-0.185856372448937	0.0550574463984002	0.28872333165171	0.516662804008324	"positive"	"negative"	"NOT_SUPPORTED"	""	"HC3 OLS: feature_score ~ Moffitt50_contrast"
"TCGA_PAAD"	"tf_activity"	"IRF3"	NA	TRUE	0.105243096844393	0.0291737680695491	0.181312425619237	0.00735795836711217	0.0646582398454338	"positive"	"positive"	"SUPPORTED"	""	"HC3 OLS: feature_score ~ Moffitt50_contrast"
"TCGA_PAAD"	"tf_activity"	"JUNB"	NA	TRUE	-0.0290745580892263	-0.102511935574055	0.0443628193956019	0.438800705570714	0.583027599914156	"positive"	"negative"	"NOT_SUPPORTED"	""	"HC3 OLS: feature_score ~ Moffitt50_contrast"
"TCGA_PAAD"	"tf_activity"	"KDM5B"	NA	TRUE	-0.0197611268022784	-0.0610129345387014	0.0214906809341445	0.349062777357097	0.565149258578158	"positive"	"negative"	"NOT_SUPPORTED"	""	"HC3 OLS: feature_score ~ Moffitt50_contrast"
"TCGA_PAAD"	"tf_activity"	"KLF1"	NA	TRUE	0.0560421182053685	0.00654584357454455	0.105538392836192	0.0277506334147525	0.106293434438531	"positive"	"positive"	"SUPPORTED"	""	"HC3 OLS: feature_score ~ Moffitt50_contrast"
"TCGA_PAAD"	"tf_activity"	"KLF13"	NA	TRUE	-0.0561016080468948	-0.100210500478063	-0.0119927156157266	0.0135942654378807	0.0743042145700868	"negative"	"negative"	"SUPPORTED"	""	"HC3 OLS: feature_score ~ Moffitt50_contrast"
"TCGA_PAAD"	"tf_activity"	"KLF9"	NA	TRUE	0.0644114176700198	0.00156543150859019	0.127257403831449	0.0460845648594051	0.142443200474525	"positive"	"positive"	"SUPPORTED"	""	"HC3 OLS: feature_score ~ Moffitt50_contrast"
"TCGA_PAAD"	"tf_activity"	"MAFF"	NA	TRUE	-0.0160700456026356	-0.0730514278923098	0.0409113366870385	0.581126003078477	0.731788300172897	"negative"	"negative"	"DIRECTION_ONLY"	""	"HC3 OLS: feature_score ~ Moffitt50_contrast"
"TCGA_PAAD"	"tf_activity"	"MBD1"	NA	TRUE	-0.0831742230779188	-0.137357519421174	-0.0289909267346637	0.00300859059522852	0.0511460401188848	"negative"	"negative"	"SUPPORTED"	""	"HC3 OLS: feature_score ~ Moffitt50_contrast"
"TCGA_PAAD"	"tf_activity"	"MBD2"	NA	TRUE	0.0579495015513239	0.0125524725809647	0.103346530521683	0.0132636623147485	0.0743042145700868	"positive"	"positive"	"SUPPORTED"	""	"HC3 OLS: feature_score ~ Moffitt50_contrast"
"TCGA_PAAD"	"tf_activity"	"MNT"	NA	TRUE	-0.0633939550084724	-0.114126148955096	-0.0126617610618488	0.0152979265291355	0.0743042145700868	"negative"	"negative"	"SUPPORTED"	""	"HC3 OLS: feature_score ~ Moffitt50_contrast"
"TCGA_PAAD"	"tf_activity"	"MXI1"	NA	TRUE	-0.0401481291938253	-0.0844765761977577	0.00418031781010714	0.0775989049626707	0.202950982210062	"negative"	"negative"	"DIRECTION_ONLY"	""	"HC3 OLS: feature_score ~ Moffitt50_contrast"
"TCGA_PAAD"	"tf_activity"	"OTX2"	NA	TRUE	-0.00700824974409565	-0.0616253336440858	0.0476088341558945	0.801721359390349	0.845505410729912	"negative"	"negative"	"DIRECTION_ONLY"	""	"HC3 OLS: feature_score ~ Moffitt50_contrast"
"TCGA_PAAD"	"tf_activity"	"SIX5"	NA	TRUE	0.0720127331023548	0.008252178521853	0.135773287682857	0.0281364973513758	0.106293434438531	"positive"	"positive"	"SUPPORTED"	""	"HC3 OLS: feature_score ~ Moffitt50_contrast"
"TCGA_PAAD"	"tf_activity"	"SNAI2"	NA	TRUE	-0.0448698525590226	-0.118170237575339	0.0284305324572941	0.231834338680884	0.44859482743902	"negative"	"negative"	"DIRECTION_ONLY"	""	"HC3 OLS: feature_score ~ Moffitt50_contrast"
"TCGA_PAAD"	"tf_activity"	"SNAPC4"	NA	TRUE	0.0880896692728651	0.0316705268335201	0.14450881171221	0.00255805437611406	0.0511460401188848	"positive"	"positive"	"SUPPORTED"	""	"HC3 OLS: feature_score ~ Moffitt50_contrast"
"TCGA_PAAD"	"tf_activity"	"STAT1"	NA	TRUE	-0.0486375324077228	-0.171616885670587	0.074341820855141	0.439281097464788	0.583027599914156	"negative"	"negative"	"DIRECTION_ONLY"	""	"HC3 OLS: feature_score ~ Moffitt50_contrast"
"TCGA_PAAD"	"tf_activity"	"TEAD4"	NA	TRUE	-0.0355629666997301	-0.117966490455926	0.0468405570564656	0.398768777927932	0.583027599914156	"positive"	"negative"	"NOT_SUPPORTED"	""	"HC3 OLS: feature_score ~ Moffitt50_contrast"
"TCGA_PAAD"	"tf_activity"	"TFAP4"	NA	TRUE	0.0351515643936076	-0.0112559431016737	0.0815590718888889	0.139435869096303	0.296301221829645	"positive"	"positive"	"DIRECTION_ONLY"	""	"HC3 OLS: feature_score ~ Moffitt50_contrast"
"TCGA_PAAD"	"tf_activity"	"TP63"	NA	TRUE	-0.0524236386668712	-0.113836851944652	0.00898957461090948	0.0960844859198637	0.227962598543293	"positive"	"negative"	"NOT_SUPPORTED"	""	"HC3 OLS: feature_score ~ Moffitt50_contrast"
"TCGA_PAAD"	"tf_activity"	"TWIST1"	NA	TRUE	0.00614755036386708	-0.0374674147581487	0.0497625154858828	0.78267025240668	0.845505410729912	"positive"	"positive"	"DIRECTION_ONLY"	""	"HC3 OLS: feature_score ~ Moffitt50_contrast"
"TCGA_PAAD"	"tf_activity"	"ZBED1"	NA	TRUE	7.26603672572556e-06	-0.0228118671323961	0.0228263992058476	0.999502746718253	0.999502746718253	"positive"	"positive"	"DIRECTION_ONLY"	""	"HC3 OLS: feature_score ~ Moffitt50_contrast"
"TCGA_PAAD"	"tf_activity"	"ZBTB11"	NA	TRUE	-0.0398134989651634	-0.0836787250570568	0.00405172712673008	0.0769724605811773	0.202950982210062	"negative"	"negative"	"DIRECTION_ONLY"	""	"HC3 OLS: feature_score ~ Moffitt50_contrast"
"TCGA_PAAD"	"tf_activity"	"ZBTB7A"	NA	TRUE	-0.105825584408194	-0.208665572891125	-0.00298559592526314	0.0452256026082651	0.142443200474525	"negative"	"negative"	"SUPPORTED"	""	"HC3 OLS: feature_score ~ Moffitt50_contrast"
"TCGA_PAAD"	"tf_activity"	"ZNF24"	NA	TRUE	0.00445944833860643	-0.0340342079478935	0.0429531046251064	0.820637604531973	0.845505410729912	"negative"	"positive"	"NOT_SUPPORTED"	""	"HC3 OLS: feature_score ~ Moffitt50_contrast"
