feature_name	feature_layer	eligible_cohorts	comparable	synthesis_method	pooled_effect	ci_low	ci_high	tau2	Q	I2	directionally_interpretable	synthesis_conclusion
"Moffitt49_no_LEMD1"	"state"	3	TRUE	"locked_random_effects_meta_analysis"	1.00650237447674	1.00246165229494	1.01054309665854	0	1.55162361865934	0	TRUE	"multi_cohort_support"
"PurIST_probability"	"state"	3	TRUE	"locked_random_effects_meta_analysis"	0.247921386616507	0.202355312046877	0.293487461186137	0.00104576237686199	5.63374251474901	0.64499620016995	TRUE	"multi_cohort_support"
"HALLMARK_PROTEIN_SECRETION"	"hallmark"	3	TRUE	"locked_random_effects_meta_analysis"	-0.00102943616607191	-0.00327654274098311	0.00121767040883929	0	0.780160802942063	0	TRUE	"not_replicated"
"HALLMARK_SPERMATOGENESIS"	"hallmark"	3	TRUE	"locked_random_effects_meta_analysis"	-0.000878747142966825	-0.00444360432419405	0.0026861100382604	3.99300697690493e-06	3.34319166733423	0.401769267511143	TRUE	"not_replicated"
"MEblack"	"module"	1	TRUE	"cohort_specific_or_partial_support"	NA	NA	NA	NA	NA	NA	TRUE	"single_cohort_partial_support"
"MEblue"	"module"	1	TRUE	"cohort_specific_or_partial_support"	NA	NA	NA	NA	NA	NA	TRUE	"single_cohort_partial_support"
"MEgreen"	"module"	1	TRUE	"cohort_specific_or_partial_support"	NA	NA	NA	NA	NA	NA	TRUE	"single_cohort_partial_support"
"MEred"	"module"	1	TRUE	"cohort_specific_or_partial_support"	NA	NA	NA	NA	NA	NA	TRUE	"not_replicated"
"MEtan"	"module"	1	TRUE	"cohort_specific_or_partial_support"	NA	NA	NA	NA	NA	NA	TRUE	"single_cohort_partial_support"
"MEgreenyellow"	"module"	1	TRUE	"cohort_specific_or_partial_support"	NA	NA	NA	NA	NA	NA	TRUE	"not_replicated"
"MEpurple"	"module"	1	TRUE	"cohort_specific_or_partial_support"	NA	NA	NA	NA	NA	NA	TRUE	"not_replicated"
"BHLHE40"	"tf_activity"	3	TRUE	"locked_random_effects_meta_analysis"	-0.0580748231933614	-0.105276677601116	-0.0108729687856072	0	0.762510639960368	0	TRUE	"not_replicated"
"CTCFL"	"tf_activity"	3	TRUE	"locked_random_effects_meta_analysis"	0.0843031884469353	0.0425895935652737	0.126016783328597	0	0.877126359772921	0	TRUE	"multi_cohort_support"
"E2F6"	"tf_activity"	3	TRUE	"locked_random_effects_meta_analysis"	-0.0587088305449453	-0.106260327255513	-0.0111573338343773	0.00074192788395463	3.44335943917454	0.419171876962269	TRUE	"single_cohort_partial_support"
"ELF1"	"tf_activity"	3	TRUE	"locked_random_effects_meta_analysis"	0.0415260385591696	0.00126970190691429	0.081782375211425	0.000548909005156371	3.5316010770883	0.43368462169319	TRUE	"single_cohort_partial_support"
"FOXK2"	"tf_activity"	3	TRUE	"locked_random_effects_meta_analysis"	0.0174581488507182	-0.0157843099276402	0.0507006076290765	7.719829999363e-05	2.19061044084042	0.087012477109937	TRUE	"not_replicated"
"GFI1B"	"tf_activity"	3	TRUE	"locked_random_effects_meta_analysis"	-0.0156035600465878	-0.0434568481549853	0.0122497280618097	0	0.101340643319805	0	TRUE	"not_replicated"
"GRHL2"	"tf_activity"	3	TRUE	"locked_random_effects_meta_analysis"	0.0859747469275081	-0.0803353192214412	0.252284813076457	0.0163651411755714	8.33698048201184	0.760104991931399	TRUE	"single_cohort_partial_support"
"IRF3"	"tf_activity"	2	TRUE	"cohort_specific_or_partial_support"	NA	NA	NA	NA	NA	NA	TRUE	"multi_cohort_support"
"JUNB"	"tf_activity"	3	TRUE	"locked_random_effects_meta_analysis"	0.0674284509845016	-0.0326360132709363	0.16749291523994	0.00630504036407889	10.396252373528	0.807622984885149	TRUE	"multi_cohort_support"
"KDM5B"	"tf_activity"	3	TRUE	"locked_random_effects_meta_analysis"	0.0246853850807427	-0.0254812414044213	0.0748520115659068	0.00131189310169015	6.05410642488259	0.669645714885366	TRUE	"not_replicated"
"KLF1"	"tf_activity"	3	TRUE	"locked_random_effects_meta_analysis"	0.0613357737116953	0.0241842391278904	0.0984873082955003	0	0.155210541805076	0	TRUE	"single_cohort_partial_support"
"KLF13"	"tf_activity"	3	TRUE	"locked_random_effects_meta_analysis"	-0.0704354665082707	-0.108915557837076	-0.0319553751794655	0.000342480360632171	2.81362224625934	0.289172523902609	TRUE	"multi_cohort_support"
"KLF9"	"tf_activity"	3	TRUE	"locked_random_effects_meta_analysis"	0.0819317807222196	0.035005061675593	0.128858499768846	0	0.799568201261044	0	TRUE	"multi_cohort_support"
"MAFF"	"tf_activity"	3	TRUE	"locked_random_effects_meta_analysis"	-0.00694998479979728	-0.0462212599361351	0.0323212903365406	0	0.271411591451378	0	TRUE	"not_replicated"
"MBD1"	"tf_activity"	2	TRUE	"cohort_specific_or_partial_support"	NA	NA	NA	NA	NA	NA	TRUE	"single_cohort_partial_support"
"MBD2"	"tf_activity"	2	TRUE	"cohort_specific_or_partial_support"	NA	NA	NA	NA	NA	NA	TRUE	"single_cohort_partial_support"
"MNT"	"tf_activity"	3	TRUE	"locked_random_effects_meta_analysis"	-0.0848808446774159	-0.126488403036022	-0.0432732863188102	5.97581136435149e-05	2.07515758093863	0.0362177704618621	TRUE	"multi_cohort_support"
"MXI1"	"tf_activity"	3	TRUE	"locked_random_effects_meta_analysis"	-0.0695575373688415	-0.108925005969909	-0.0301900687677737	0.000398298680765212	2.9547635636169	0.323126890886722	TRUE	"multi_cohort_support"
"OTX2"	"tf_activity"	3	TRUE	"locked_random_effects_meta_analysis"	-0.015325461734262	-0.05887710200558	0.0282261785370559	0	0.261159397470165	0	TRUE	"not_replicated"
"SIX5"	"tf_activity"	3	TRUE	"locked_random_effects_meta_analysis"	0.0335001803965203	-0.00255711366464517	0.0695574744576858	6.47979350019951e-05	2.13193655491431	0.0618857792039736	TRUE	"single_cohort_partial_support"
"SNAI2"	"tf_activity"	3	TRUE	"locked_random_effects_meta_analysis"	-0.115393069766865	-0.200063244263899	-0.0307228952698313	0.003599533087459	5.64005029527388	0.645393233163911	TRUE	"multi_cohort_support"
"SNAPC4"	"tf_activity"	3	TRUE	"locked_random_effects_meta_analysis"	0.0596324481307525	0.0245582730567201	0.0947066232047849	0	1.62930238553732	0	TRUE	"single_cohort_partial_support"
"STAT1"	"tf_activity"	3	TRUE	"locked_random_effects_meta_analysis"	0.0464981407811127	-0.0887302321402773	0.181726513702503	0.0084903792361431	4.97822112513618	0.598250067699576	TRUE	"not_replicated"
"TEAD4"	"tf_activity"	3	TRUE	"locked_random_effects_meta_analysis"	0.0358129827598751	-0.0366573856874943	0.108283351207244	0.00230302048473959	4.56832522810767	0.562202798589176	TRUE	"not_replicated"
"TFAP4"	"tf_activity"	3	TRUE	"locked_random_effects_meta_analysis"	0.0538025029706795	0.0196767647096574	0.0879282412317017	0	1.35234717052185	0	TRUE	"multi_cohort_support"
"TP63"	"tf_activity"	3	TRUE	"locked_random_effects_meta_analysis"	0.0795913377835067	-0.0627973172448981	0.221979992811911	0.0147165961161892	28.463422032663	0.929734379875164	TRUE	"multi_cohort_support"
"TWIST1"	"tf_activity"	2	TRUE	"cohort_specific_or_partial_support"	NA	NA	NA	NA	NA	NA	TRUE	"not_replicated"
"ZBED1"	"tf_activity"	3	TRUE	"locked_random_effects_meta_analysis"	0.0269407344314276	-0.0129539619599221	0.0668354308227773	0.000970908100300831	9.41948949616233	0.787674268248313	TRUE	"single_cohort_partial_support"
"ZBTB11"	"tf_activity"	3	TRUE	"locked_random_effects_meta_analysis"	0.0205054504656649	-0.0541807218851992	0.0951916228165289	0.00329934422143782	8.54068573075238	0.765826765783148	TRUE	"not_replicated"
"ZBTB7A"	"tf_activity"	3	TRUE	"locked_random_effects_meta_analysis"	-0.113160042795926	-0.176787600535046	-0.0495324850568061	0	1.48453253286574	0	TRUE	"multi_cohort_support"
"ZNF24"	"tf_activity"	3	TRUE	"locked_random_effects_meta_analysis"	-0.0641726684222837	-0.142241422817109	0.0138960859725413	0.0040673248436688	14.1982658147033	0.859137726670192	TRUE	"multi_cohort_support"
