cohort	feature_name	control_type	iterations	observed_abs_effect	control_abs_effect_median	empirical_p	outperforms_matched_controls	status
"TCGA_PAAD"	"HALLMARK_PROTEIN_SECRETION"	"patient-label permutation"	1000	0.00181525505655412	0.00128453200619795	0.338	TRUE	"EXECUTED"
"TCGA_PAAD"	"HALLMARK_SPERMATOGENESIS"	"patient-label permutation"	1000	0.000371256734787437	0.00179542914604017	0.879	FALSE	"EXECUTED"
"TCGA_PAAD"	"MEblack"	"patient-label permutation"	1000	0.0090646451866561	0.00117151578022381	0	TRUE	"EXECUTED"
"TCGA_PAAD"	"MEblue"	"patient-label permutation"	1000	0.0115206025014869	0.00172802994765697	0	TRUE	"EXECUTED"
"TCGA_PAAD"	"MEgreen"	"patient-label permutation"	1000	0.0246529703575503	0.00200732904216861	0	TRUE	"EXECUTED"
"TCGA_PAAD"	"MEred"	"patient-label permutation"	1000	0.000239801210143105	0.00167853649050029	0.924	FALSE	"EXECUTED"
"TCGA_PAAD"	"MEtan"	"patient-label permutation"	1000	0.0112472377431708	0.00176572969439699	0	TRUE	"EXECUTED"
"TCGA_PAAD"	"MEgreenyellow"	"patient-label permutation"	1000	0.00341540558790382	0.00151900624809877	0.126	TRUE	"EXECUTED"
"TCGA_PAAD"	"MEpurple"	"patient-label permutation"	1000	0.00969371755738132	0.004626449600109	0.128	TRUE	"EXECUTED"
"TCGA_PAAD"	"MEblack"	"size-matched randomized module gene sets"	100	0.0090646451866561	0.000611065708847191	0	TRUE	"EXECUTED"
"TCGA_PAAD"	"MEblack"	"expression-matched randomized module gene sets"	100	0.0090646451866561	0.00074489704556668	0	TRUE	"EXECUTED"
"TCGA_PAAD"	"MEblack"	"gene-label permutation"	1000	0.0090646451866561	0.00108178547840424	0	TRUE	"EXECUTED"
"TCGA_PAAD"	"MEblue"	"size-matched randomized module gene sets"	100	0.0115206025014869	0.000225235751218195	0	TRUE	"EXECUTED"
"TCGA_PAAD"	"MEblue"	"expression-matched randomized module gene sets"	100	0.0115206025014869	0.000279781234492224	0	TRUE	"EXECUTED"
"TCGA_PAAD"	"MEblue"	"gene-label permutation"	1000	0.0115206025014869	0.0017957852076792	0	TRUE	"EXECUTED"
"TCGA_PAAD"	"MEgreen"	"size-matched randomized module gene sets"	100	0.0246529703575503	0.000424942020378041	0	TRUE	"EXECUTED"
"TCGA_PAAD"	"MEgreen"	"expression-matched randomized module gene sets"	100	0.0246529703575503	0.000487631793315246	0	TRUE	"EXECUTED"
"TCGA_PAAD"	"MEgreen"	"gene-label permutation"	1000	0.0246529703575503	0.00214700866928807	0	TRUE	"EXECUTED"
"TCGA_PAAD"	"MEred"	"size-matched randomized module gene sets"	100	0.000239801210143105	0.000491019545121732	0.7	FALSE	"EXECUTED"
"TCGA_PAAD"	"MEred"	"expression-matched randomized module gene sets"	100	0.000239801210143105	0.000466120250437493	0.73	FALSE	"EXECUTED"
"TCGA_PAAD"	"MEred"	"gene-label permutation"	1000	0.000239801210143105	0.00161125018343947	0.934	FALSE	"EXECUTED"
"TCGA_PAAD"	"MEtan"	"size-matched randomized module gene sets"	100	0.0112472377431708	0.000999339841740242	0	TRUE	"EXECUTED"
"TCGA_PAAD"	"MEtan"	"expression-matched randomized module gene sets"	100	0.0112472377431708	0.00107403578224588	0	TRUE	"EXECUTED"
"TCGA_PAAD"	"MEtan"	"gene-label permutation"	1000	0.0112472377431708	0.00192275363997375	0	TRUE	"EXECUTED"
"TCGA_PAAD"	"MEgreenyellow"	"size-matched randomized module gene sets"	100	0.00341540558790382	0.000678097688775147	0.01	TRUE	"EXECUTED"
"TCGA_PAAD"	"MEgreenyellow"	"expression-matched randomized module gene sets"	100	0.00341540558790382	0.000928920153629597	0.02	TRUE	"EXECUTED"
"TCGA_PAAD"	"MEgreenyellow"	"gene-label permutation"	1000	0.00341540558790382	0.00149592916249046	0.126	TRUE	"EXECUTED"
"TCGA_PAAD"	"MEpurple"	"size-matched randomized module gene sets"	100	0.00969371755738132	0.000628595278612553	0	TRUE	"EXECUTED"
"TCGA_PAAD"	"MEpurple"	"expression-matched randomized module gene sets"	100	0.00969371755738132	0.000636416054770037	0	TRUE	"EXECUTED"
"TCGA_PAAD"	"MEpurple"	"gene-label permutation"	1000	0.00969371755738132	0.00468558266082053	0.145	TRUE	"EXECUTED"
"TCGA_PAAD"	"HALLMARK_MYOGENESIS"	"unrelated Hallmark pathway"	NA	0.000343990833826917	NA	0.888785356325542	FALSE	"EXECUTED"
"TCGA_PAAD"	"HALLMARK_PANCREAS_BETA_CELLS"	"unrelated Hallmark pathway"	NA	0.00147946582905926	NA	0.907461067031131	FALSE	"EXECUTED"
"TCGA_PAAD"	"HALLMARK_HEDGEHOG_SIGNALING"	"unrelated Hallmark pathway"	NA	0.000398521932740622	NA	0.910130618704356	FALSE	"EXECUTED"
"TCGA_PAAD"	"HALLMARK_BILE_ACID_METABOLISM"	"unrelated Hallmark pathway"	NA	0.00198966686650227	NA	0.370115442154676	FALSE	"EXECUTED"
"TCGA_PAAD"	"HALLMARK_PEROXISOME"	"unrelated Hallmark pathway"	NA	0.00277903427253286	NA	0.120025697479856	FALSE	"EXECUTED"
"GSE71729"	"HALLMARK_PROTEIN_SECRETION"	"patient-label permutation"	1000	0.000616836439245784	0.00237503445231969	0.879	FALSE	"EXECUTED"
"GSE71729"	"HALLMARK_SPERMATOGENESIS"	"patient-label permutation"	1000	0.00431628720865521	0.00148634744306118	0.065	TRUE	"EXECUTED"
"GSE71729"	"HALLMARK_MYOGENESIS"	"unrelated Hallmark pathway"	NA	7.61696971218403e-05	NA	0.981478577571314	FALSE	"EXECUTED"
"GSE71729"	"HALLMARK_PANCREAS_BETA_CELLS"	"unrelated Hallmark pathway"	NA	0.0546846530397449	NA	1.30737031489649e-09	TRUE	"EXECUTED"
"GSE71729"	"HALLMARK_HEDGEHOG_SIGNALING"	"unrelated Hallmark pathway"	NA	0.0032057310355693	NA	0.378832383138755	FALSE	"EXECUTED"
"GSE71729"	"HALLMARK_BILE_ACID_METABOLISM"	"unrelated Hallmark pathway"	NA	0.0168280659305769	NA	5.6147836915608e-09	TRUE	"EXECUTED"
"GSE71729"	"HALLMARK_PEROXISOME"	"unrelated Hallmark pathway"	NA	0.00999716247506078	NA	0.000713489928218358	TRUE	"EXECUTED"
"GSE62452"	"HALLMARK_PROTEIN_SECRETION"	"patient-label permutation"	1000	3.00372534375263e-06	0.00198601930317557	1	FALSE	"EXECUTED"
"GSE62452"	"HALLMARK_SPERMATOGENESIS"	"patient-label permutation"	1000	0.00172666967701256	0.00182068507953054	0.521	FALSE	"EXECUTED"
