feature_name	feature_family	composition_covariate	eligible_patients	coefficient	confidence_interval_low	confidence_interval_high	p_value	model_diagnostics	q_value	dataset_id	localization_interpretation
HALLMARK_PROTEIN_SECRETION	Hallmark	endothelial_fraction	35	-0.0240851707780611	-0.0550723893581062	0.00690204780198412	0.137177217051993	HC3_OLS; residual_sd=0.01237	0.274354434103987	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
HALLMARK_SPERMATOGENESIS	Hallmark	endothelial_fraction	35	0.00282342443066981	-0.0348467424491675	0.0404935913105071	0.884101334375217	HC3_OLS; residual_sd=0.01316	0.884101334375217	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
MEblack	WGCNA-module	endothelial_fraction	35	-0.106612220316158	-0.163042898247667	-0.0501815423846486	0.000775162008250452	HC3_OLS; residual_sd=0.01764	0.000968952510313065	PENG_CRA001160	PARTLY_EXPLAINED_BY_CELL_COMPOSITION
MEblue	WGCNA-module	endothelial_fraction	35	-0.181686977429765	-0.261282535407412	-0.102091419452118	8.61137280873876e-05	HC3_OLS; residual_sd=0.03189	0.000420984679988695	PENG_CRA001160	PARTLY_EXPLAINED_BY_CELL_COMPOSITION
MEgreen	WGCNA-module	endothelial_fraction	35	-0.179560182738466	-0.266528787693478	-0.0925915777834545	0.000294605809407585	HC3_OLS; residual_sd=0.04397	0.000491009682345976	PENG_CRA001160	PARTLY_EXPLAINED_BY_CELL_COMPOSITION
MEtan	WGCNA-module	endothelial_fraction	35	0.000381313509187899	-0.0506347590821828	0.0513973861005586	0.988399794283764	HC3_OLS; residual_sd=0.02021	0.988399794283764	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
MEgreenyellow	WGCNA-module	endothelial_fraction	35	0.178848909702263	0.0962145489523885	0.261483270452138	0.000168393871995478	HC3_OLS; residual_sd=0.03274	0.000420984679988695	PENG_CRA001160	PARTLY_EXPLAINED_BY_CELL_COMPOSITION
CTCFL	externally replicated TF	endothelial_fraction	35	1.06666354297949	-0.331973658044299	2.46530074400328	0.144472868026749	HC3_OLS; residual_sd=0.3206	0.288945736053498	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
IRF3	externally replicated TF	endothelial_fraction	35	-1.59566659405344	-2.40488498888305	-0.786448199223843	0.000492956866824781	HC3_OLS; residual_sd=0.4021	0.00591548240189738	PENG_CRA001160	PARTLY_EXPLAINED_BY_CELL_COMPOSITION
JUNB	externally replicated TF	endothelial_fraction	35	-0.225570333983522	-0.925769575744458	0.474628907777415	0.532117476796788	HC3_OLS; residual_sd=0.2857	0.580491792869223	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
KLF13	externally replicated TF	endothelial_fraction	35	-0.28074972191361	-0.992026792927155	0.430527349099935	0.444653169581296	HC3_OLS; residual_sd=0.2446	0.533583803497556	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
KLF9	externally replicated TF	endothelial_fraction	35	1.5484813274391	-0.217337306886202	3.31429996176439	0.0950270805616593	HC3_OLS; residual_sd=0.4377	0.285081241684978	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
MNT	externally replicated TF	endothelial_fraction	35	0.991300777576605	-0.23760208607483	2.22020364122804	0.12340652108007	HC3_OLS; residual_sd=0.3417	0.288945736053498	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
MXI1	externally replicated TF	endothelial_fraction	35	-0.509062993715541	-1.72675405978315	0.708628072352069	0.418442843445227	HC3_OLS; residual_sd=0.2419	0.533583803497556	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
SNAI2	externally replicated TF	endothelial_fraction	35	0.779741851824486	-0.384075781123682	1.94355948477265	0.198182864531113	HC3_OLS; residual_sd=0.3726	0.339742053481908	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
TFAP4	externally replicated TF	endothelial_fraction	35	0.646713087108241	-0.56915295043688	1.86257912465336	0.30475088167052	HC3_OLS; residual_sd=0.3	0.45712632250578	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
TP63	externally replicated TF	endothelial_fraction	35	-1.00364597307515	-1.87772038182353	-0.129571564326756	0.0311992300128856	HC3_OLS; residual_sd=0.3144	0.124796920051543	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
ZBTB7A	externally replicated TF	endothelial_fraction	35	-0.465812956494676	-2.21059394643922	1.27896803344987	0.604281920390762	HC3_OLS; residual_sd=0.5064	0.604281920390762	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
ZNF24	externally replicated TF	endothelial_fraction	35	1.00848393200325	0.368841545172804	1.64812631883369	0.00404434182993082	HC3_OLS; residual_sd=0.2475	0.0242660509795849	PENG_CRA001160	PARTLY_EXPLAINED_BY_CELL_COMPOSITION
BHLHE40	partially replicated TF	endothelial_fraction	35	1.33542449728681	0.202477944274652	2.46837105029896	0.0272661004916532	HC3_OLS; residual_sd=0.4497	0.0960179638782488	PENG_CRA001160	PARTLY_EXPLAINED_BY_CELL_COMPOSITION
E2F6	partially replicated TF	endothelial_fraction	35	0.330906009196974	-0.253122550642087	0.914934569036035	0.274801210182541	HC3_OLS; residual_sd=0.2789	0.508552725591727	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
