dataset_id	feature_name	bulk_evidence_category	eligible_patients	primary_cell_source	malignant_cell_support	cell_composition_result	patient_level_statistical_support	negative_control_result	final_single_cell_category	classification_reason
PENG_CRA001160	HALLMARK_PROTEIN_SECRETION	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	35	malignant_epithelial	SUPPORTED	malignant_epithelial_fraction;lymphoid_fraction	SUPPORTED	TO_VERIFY_FOR_SOME_CONTROLS	MALIGNANT_CELL_INTRINSIC_SUPPORT	Primary source: malignant_epithelial ; single cohort patient-aware pseudobulk; no microbiome replication tested.
PENG_CRA001160	HALLMARK_SPERMATOGENESIS	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	35	B_cell	NOT_SUPPORTED_OR_UNDERPOWERED	fibroblast_caf_fraction	SUPPORTED	TO_VERIFY_FOR_SOME_CONTROLS	STROMAL_OR_IMMUNE_SOURCE_SUPPORTED	Primary source: B_cell ; single cohort patient-aware pseudobulk; no microbiome replication tested.
PENG_CRA001160	MEblack	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	35	B_cell	SUPPORTED	endothelial_fraction;malignant_epithelial_fraction;myeloid_fraction	SUPPORTED	TO_VERIFY_FOR_SOME_CONTROLS	STROMAL_OR_IMMUNE_SOURCE_SUPPORTED	Primary source: B_cell ; single cohort patient-aware pseudobulk; no microbiome replication tested.
PENG_CRA001160	MEblue	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	35	malignant_epithelial	SUPPORTED	endothelial_fraction;malignant_epithelial_fraction;myeloid_fraction	SUPPORTED	TO_VERIFY_FOR_SOME_CONTROLS	MALIGNANT_CELL_INTRINSIC_SUPPORT	Primary source: malignant_epithelial ; single cohort patient-aware pseudobulk; no microbiome replication tested.
PENG_CRA001160	MEgreen	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	35	malignant_epithelial	SUPPORTED	endothelial_fraction;malignant_epithelial_fraction	SUPPORTED	TO_VERIFY_FOR_SOME_CONTROLS	MALIGNANT_CELL_INTRINSIC_SUPPORT	Primary source: malignant_epithelial ; single cohort patient-aware pseudobulk; no microbiome replication tested.
PENG_CRA001160	MEtan	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	35	myeloid	SUPPORTED	fibroblast_caf_fraction	SUPPORTED	TO_VERIFY_FOR_SOME_CONTROLS	STROMAL_OR_IMMUNE_SOURCE_SUPPORTED	Primary source: myeloid ; single cohort patient-aware pseudobulk; no microbiome replication tested.
PENG_CRA001160	MEgreenyellow	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	35	nonmalignant_epithelial	NOT_SUPPORTED_OR_UNDERPOWERED	endothelial_fraction;fibroblast_caf_fraction;malignant_epithelial_fraction	SUPPORTED	TO_VERIFY_FOR_SOME_CONTROLS	CELL_COMPOSITION_EXPLAINED	Primary source: nonmalignant_epithelial ; single cohort patient-aware pseudobulk; no microbiome replication tested.
PENG_CRA001160	CTCFL	EXTERNALLY_REPLICATED_HOST_FEATURE	35	endothelial	NOT_SUPPORTED_OR_UNDERPOWERED	myeloid_fraction	SUPPORTED	TO_VERIFY_FOR_SOME_CONTROLS	CELL_COMPOSITION_EXPLAINED	Primary source: endothelial ; single cohort patient-aware pseudobulk; no microbiome replication tested.
PENG_CRA001160	IRF3	EXTERNALLY_REPLICATED_HOST_FEATURE	35	T_cell	NOT_SUPPORTED_OR_UNDERPOWERED	endothelial_fraction;lymphoid_fraction	SUPPORTED	TO_VERIFY_FOR_SOME_CONTROLS	STROMAL_OR_IMMUNE_SOURCE_SUPPORTED	Primary source: T_cell ; single cohort patient-aware pseudobulk; no microbiome replication tested.
PENG_CRA001160	JUNB	EXTERNALLY_REPLICATED_HOST_FEATURE	35	endothelial	NOT_SUPPORTED_OR_UNDERPOWERED	fibroblast_caf_fraction	SUPPORTED	TO_VERIFY_FOR_SOME_CONTROLS	CELL_COMPOSITION_EXPLAINED	Primary source: endothelial ; single cohort patient-aware pseudobulk; no microbiome replication tested.
PENG_CRA001160	KLF13	EXTERNALLY_REPLICATED_HOST_FEATURE	35	nonmalignant_epithelial	NOT_SUPPORTED_OR_UNDERPOWERED		SUPPORTED	TO_VERIFY_FOR_SOME_CONTROLS	PARTIAL_CELLULAR_SUPPORT	Primary source: nonmalignant_epithelial ; single cohort patient-aware pseudobulk; no microbiome replication tested.
PENG_CRA001160	KLF9	EXTERNALLY_REPLICATED_HOST_FEATURE	35	endothelial	NOT_SUPPORTED_OR_UNDERPOWERED	myeloid_fraction;lymphoid_fraction	SUPPORTED	TO_VERIFY_FOR_SOME_CONTROLS	CELL_COMPOSITION_EXPLAINED	Primary source: endothelial ; single cohort patient-aware pseudobulk; no microbiome replication tested.
PENG_CRA001160	MNT	EXTERNALLY_REPLICATED_HOST_FEATURE	35	B_cell	NOT_SUPPORTED_OR_UNDERPOWERED	malignant_epithelial_fraction	SUPPORTED	TO_VERIFY_FOR_SOME_CONTROLS	STROMAL_OR_IMMUNE_SOURCE_SUPPORTED	Primary source: B_cell ; single cohort patient-aware pseudobulk; no microbiome replication tested.
PENG_CRA001160	MXI1	EXTERNALLY_REPLICATED_HOST_FEATURE	35	T_cell	NOT_SUPPORTED_OR_UNDERPOWERED	lymphoid_fraction	SUPPORTED	TO_VERIFY_FOR_SOME_CONTROLS	STROMAL_OR_IMMUNE_SOURCE_SUPPORTED	Primary source: T_cell ; single cohort patient-aware pseudobulk; no microbiome replication tested.
PENG_CRA001160	SNAI2	EXTERNALLY_REPLICATED_HOST_FEATURE	35	B_cell	NOT_SUPPORTED_OR_UNDERPOWERED	malignant_epithelial_fraction	SUPPORTED	TO_VERIFY_FOR_SOME_CONTROLS	STROMAL_OR_IMMUNE_SOURCE_SUPPORTED	Primary source: B_cell ; single cohort patient-aware pseudobulk; no microbiome replication tested.
PENG_CRA001160	TFAP4	EXTERNALLY_REPLICATED_HOST_FEATURE	35	malignant_epithelial	NOT_SUPPORTED_OR_UNDERPOWERED	myeloid_fraction;lymphoid_fraction	SUPPORTED	TO_VERIFY_FOR_SOME_CONTROLS	CELL_COMPOSITION_EXPLAINED	Primary source: malignant_epithelial ; single cohort patient-aware pseudobulk; no microbiome replication tested.
PENG_CRA001160	TP63	EXTERNALLY_REPLICATED_HOST_FEATURE	35	malignant_epithelial	NOT_SUPPORTED_OR_UNDERPOWERED	malignant_epithelial_fraction;myeloid_fraction	SUPPORTED	TO_VERIFY_FOR_SOME_CONTROLS	CELL_COMPOSITION_EXPLAINED	Primary source: malignant_epithelial ; single cohort patient-aware pseudobulk; no microbiome replication tested.
PENG_CRA001160	ZBTB7A	EXTERNALLY_REPLICATED_HOST_FEATURE	35	B_cell	NOT_SUPPORTED_OR_UNDERPOWERED		SUPPORTED	TO_VERIFY_FOR_SOME_CONTROLS	STROMAL_OR_IMMUNE_SOURCE_SUPPORTED	Primary source: B_cell ; single cohort patient-aware pseudobulk; no microbiome replication tested.
PENG_CRA001160	ZNF24	EXTERNALLY_REPLICATED_HOST_FEATURE	35	B_cell	NOT_SUPPORTED_OR_UNDERPOWERED	endothelial_fraction;malignant_epithelial_fraction	SUPPORTED	TO_VERIFY_FOR_SOME_CONTROLS	STROMAL_OR_IMMUNE_SOURCE_SUPPORTED	Primary source: B_cell ; single cohort patient-aware pseudobulk; no microbiome replication tested.
