feature_name	feature_family	eligible_patients	primary_cell_source	highest_activity_cell_type	malignant_detectable	coefficient	standard_error	confidence_interval_low	confidence_interval_high	p_value	model_diagnostics	q_value	dataset_id	effect_direction	bulk_signal_could_reflect_composition	remains_associated_with_malignant_moffitt50
HALLMARK_PROTEIN_SECRETION	Hallmark	35	malignant_epithelial	malignant_epithelial	TRUE					9.62690481815922e-39	patient_fixed_effect_model; residual_sd=0.009949	1.92538096363184e-38	PENG_CRA001160	cell_type_localization	FALSE	TRUE
HALLMARK_SPERMATOGENESIS	Hallmark	35	B_cell	B_cell	TRUE					1.00734044778385e-21	patient_fixed_effect_model; residual_sd=0.01492	1.00734044778385e-21	PENG_CRA001160	cell_type_localization	TRUE	FALSE
MEblack	WGCNA-module	35	B_cell	B_cell	TRUE					7.86884430974659e-37	patient_fixed_effect_model; residual_sd=0.01511	9.83605538718324e-37	PENG_CRA001160	cell_type_localization	TRUE	TRUE
MEblue	WGCNA-module	35	malignant_epithelial	malignant_epithelial	TRUE					9.68463258548472e-71	patient_fixed_effect_model; residual_sd=0.0125	2.42115814637118e-70	PENG_CRA001160	cell_type_localization	FALSE	TRUE
MEgreen	WGCNA-module	35	malignant_epithelial	malignant_epithelial	TRUE					1.05348214891721e-77	patient_fixed_effect_model; residual_sd=0.01536	5.26741074458604e-77	PENG_CRA001160	cell_type_localization	FALSE	TRUE
MEtan	WGCNA-module	35	myeloid	myeloid	TRUE					1.74875319179488e-10	patient_fixed_effect_model; residual_sd=0.02011	1.74875319179488e-10	PENG_CRA001160	cell_type_localization	TRUE	TRUE
MEgreenyellow	WGCNA-module	35	nonmalignant_epithelial	nonmalignant_epithelial	TRUE					7.56069165041028e-51	patient_fixed_effect_model; residual_sd=0.01725	1.26011527506838e-50	PENG_CRA001160	cell_type_localization	TRUE	FALSE
CTCFL	externally replicated TF	35	endothelial	endothelial	TRUE					2.26347322020563e-57	patient_fixed_effect_model; residual_sd=0.2529	9.05389288082251e-57	PENG_CRA001160	cell_type_localization	TRUE	FALSE
IRF3	externally replicated TF	35	T_cell	T_cell	TRUE					1.53868899728326e-34	patient_fixed_effect_model; residual_sd=0.2977	2.30803349592488e-34	PENG_CRA001160	cell_type_localization	TRUE	FALSE
JUNB	externally replicated TF	35	endothelial	endothelial	TRUE					1.33485151819072e-26	patient_fixed_effect_model; residual_sd=0.3147	1.45620165620805e-26	PENG_CRA001160	cell_type_localization	TRUE	FALSE
KLF13	externally replicated TF	35	nonmalignant_epithelial	nonmalignant_epithelial	TRUE					3.69213045166292e-14	patient_fixed_effect_model; residual_sd=0.2521	3.69213045166292e-14	PENG_CRA001160	cell_type_localization	TRUE	FALSE
KLF9	externally replicated TF	35	endothelial	endothelial	TRUE					1.53587975708783e-68	patient_fixed_effect_model; residual_sd=0.2998	1.8430557085054e-67	PENG_CRA001160	cell_type_localization	TRUE	FALSE
MNT	externally replicated TF	35	B_cell	B_cell	TRUE					7.90659715141881e-43	patient_fixed_effect_model; residual_sd=0.2706	1.58131943028376e-42	PENG_CRA001160	cell_type_localization	TRUE	FALSE
MXI1	externally replicated TF	35	T_cell	T_cell	TRUE					3.14229225391468e-39	patient_fixed_effect_model; residual_sd=0.2765	5.38678672099659e-39	PENG_CRA001160	cell_type_localization	TRUE	FALSE
SNAI2	externally replicated TF	35	B_cell	B_cell	TRUE					2.11647995483909e-54	patient_fixed_effect_model; residual_sd=0.2612	6.34943986451726e-54	PENG_CRA001160	cell_type_localization	TRUE	FALSE
TFAP4	externally replicated TF	35	malignant_epithelial	malignant_epithelial	TRUE					1.66168601641805e-50	patient_fixed_effect_model; residual_sd=0.2701	3.98804643940332e-50	PENG_CRA001160	cell_type_localization	FALSE	FALSE
TP63	externally replicated TF	35	malignant_epithelial	malignant_epithelial	TRUE					2.26708891804712e-30	patient_fixed_effect_model; residual_sd=0.2282	3.02278522406283e-30	PENG_CRA001160	cell_type_localization	FALSE	FALSE
