feature_name	feature_family	eligible_patients	coefficient	standard_error	confidence_interval_low	confidence_interval_high	p_value	model_diagnostics	q_value	dataset_id	effect_direction	feature_coverage	bulk_external_evidence_category
HALLMARK_PROTEIN_SECRETION	Hallmark	24	0.00400354595239533	0.00154728924020926	0.000970859041585183	0.00703623286320547	0.0168056162801413	HC3_OLS; residual_sd=0.01258	0.0336112325602826	PENG_CRA001160	positive	see phase9b2_single_cell_feature_coverage.tsv	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE
HALLMARK_SPERMATOGENESIS	Hallmark	24	0.00170887970308875	0.00544127955523357	-0.00895602822516906	0.0123737876313466	0.756435369469319	HC3_OLS; residual_sd=0.02295	0.756435369469319	PENG_CRA001160	positive	see phase9b2_single_cell_feature_coverage.tsv	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE
MEblack	WGCNA-module	24	0.0169722089866286	0.00398354640290919	0.0091644580369266	0.0247799599363306	0.000319270580846182	HC3_OLS; residual_sd=0.01727	0.000532117634743637	PENG_CRA001160	positive	see phase9b2_single_cell_feature_coverage.tsv	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE
MEblue	WGCNA-module	24	0.0196904767214988	0.00430305731354475	0.0112564843869511	0.0281244690560465	0.00014777715242208	HC3_OLS; residual_sd=0.01901	0.000369442881055201	PENG_CRA001160	positive	see phase9b2_single_cell_feature_coverage.tsv	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE
MEgreen	WGCNA-module	24	-0.034672872800987	0.00755362324218233	-0.0494779743556644	-0.0198677712463096	0.000142708307271804	HC3_OLS; residual_sd=0.02422	0.000369442881055201	PENG_CRA001160	negative	see phase9b2_single_cell_feature_coverage.tsv	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE
MEtan	WGCNA-module	24	-0.0130968500892467	0.00446538005197388	-0.0218489949911155	-0.00434470518737786	0.00769903608055851	HC3_OLS; residual_sd=0.01795	0.00962379510069814	PENG_CRA001160	negative	see phase9b2_single_cell_feature_coverage.tsv	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE
MEgreenyellow	WGCNA-module	24	0.00623315538589977	0.0046261503260646	-0.00283409925318685	0.0153004100249864	0.191573907062309	HC3_OLS; residual_sd=0.02606	0.191573907062309	PENG_CRA001160	positive	see phase9b2_single_cell_feature_coverage.tsv	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE
CTCFL	externally replicated TF	24	0.0170004710661415	0.107774544708928	-0.194237636563357	0.22823857869564	0.876099703210901	HC3_OLS; residual_sd=0.4082	0.922949022608734	PENG_CRA001160	positive	see phase9b2_single_cell_feature_coverage.tsv	EXTERNALLY_REPLICATED_HOST_FEATURE
IRF3	externally replicated TF	24	0.0699592833366679	0.0504281017825594	-0.0288797961571486	0.168798362830484	0.179242684240587	HC3_OLS; residual_sd=0.2668	0.53772805272176	PENG_CRA001160	positive	see phase9b2_single_cell_feature_coverage.tsv	EXTERNALLY_REPLICATED_HOST_FEATURE
JUNB	externally replicated TF	24	0.114229198820695	0.0792755317502165	-0.0411508434097291	0.26960924105112	0.163691348012651	HC3_OLS; residual_sd=0.3714	0.53772805272176	PENG_CRA001160	positive	see phase9b2_single_cell_feature_coverage.tsv	EXTERNALLY_REPLICATED_HOST_FEATURE
KLF13	externally replicated TF	24	-0.0953035137391873	0.0771304981643949	-0.246479290141401	0.0558722626630267	0.229634294582794	HC3_OLS; residual_sd=0.3246	0.551122306998706	PENG_CRA001160	negative	see phase9b2_single_cell_feature_coverage.tsv	EXTERNALLY_REPLICATED_HOST_FEATURE
KLF9	externally replicated TF	24	0.0321413434386324	0.135529122755743	-0.233495737162625	0.29777842403989	0.814731377740619	HC3_OLS; residual_sd=0.6289	0.922949022608734	PENG_CRA001160	positive	see phase9b2_single_cell_feature_coverage.tsv	EXTERNALLY_REPLICATED_HOST_FEATURE
MNT	externally replicated TF	24	-0.07404063671403	0.071087795512787	-0.213372715919092	0.0652914424910324	0.308937229789943	HC3_OLS; residual_sd=0.3988	0.617874459579885	PENG_CRA001160	negative	see phase9b2_single_cell_feature_coverage.tsv	EXTERNALLY_REPLICATED_HOST_FEATURE
MXI1	externally replicated TF	24	-0.0393551374353081	0.0678908001193101	-0.172421105669156	0.0937108307985396	0.568018016424093	HC3_OLS; residual_sd=0.3607	0.922949022608734	PENG_CRA001160	negative	see phase9b2_single_cell_feature_coverage.tsv	EXTERNALLY_REPLICATED_HOST_FEATURE
