sample_id	patient_id	cell_type	tumor_control_status	dataset_id	moffitt50_basal_score	moffitt50_classical_score	moffitt50_contrast	moffitt49_no_LEMD1_contrast	purist_probability
N10|endothelial	N10	endothelial	CONTROL_PANCREAS	PENG_CRA001160	-0.780547040501247	-0.429045356780058	-0.35150168372119	-0.341704839207719	0.006936481298717
N10|fibroblast_caf	N10	fibroblast_caf	CONTROL_PANCREAS	PENG_CRA001160	-0.902131239266803	-0.884318346100586	-0.0178128931662167	-0.0133023181642924	0.00550269180497639
N10|myeloid	N10	myeloid	CONTROL_PANCREAS	PENG_CRA001160	-0.482420029748563	-0.896296541879811	0.413876512131248	0.436635400590487	0.001095990682655
N10|nonmalignant_epithelial	N10	nonmalignant_epithelial	CONTROL_PANCREAS	PENG_CRA001160	-0.442082489211278	-0.420742795571513	-0.0213396936397645	-0.00572184694050143	0.006936481298717
N11|endothelial	N11	endothelial	CONTROL_PANCREAS	PENG_CRA001160	-0.700245916369249	-0.456085779243156	-0.244160137126093	-0.230871939389493	0.006936481298717
N11|fibroblast_caf	N11	fibroblast_caf	CONTROL_PANCREAS	PENG_CRA001160	-0.721752698394301	-0.86432297744812	0.142570279053818	0.154923399311069	0.00789186207421424
N11|myeloid	N11	myeloid	CONTROL_PANCREAS	PENG_CRA001160	-0.596580882196993	-0.941301812544075	0.344720930347082	0.362516303482477	0.00315376359527949
N11|nonmalignant_epithelial	N11	nonmalignant_epithelial	CONTROL_PANCREAS	PENG_CRA001160	-0.408468969752007	-0.249162832177009	-0.159306137574999	-0.167305380131602	0.00446060628222613
N1|endothelial	N1	endothelial	CONTROL_PANCREAS	PENG_CRA001160	-0.647308104192081	-0.512718585436971	-0.134589518755109	-0.118999677010806	0.006936481298717
N1|fibroblast_caf	N1	fibroblast_caf	CONTROL_PANCREAS	PENG_CRA001160	-0.613849171367843	-0.800389573546538	0.186540402178696	0.203584980132749	0.006936481298717
N1|myeloid	N1	myeloid	CONTROL_PANCREAS	PENG_CRA001160	-0.418537713574026	-0.791585185833408	0.373047472259382	0.39858385272621	0.00277037049485031
N1|nonmalignant_epithelial	N1	nonmalignant_epithelial	CONTROL_PANCREAS	PENG_CRA001160	-0.462796715193628	-0.35073211545288	-0.112064599740748	-0.0884525236921642	0.00446060628222613
N2|endothelial	N2	endothelial	CONTROL_PANCREAS	PENG_CRA001160	-0.72084911637797	-0.507681398389738	-0.213167717988232	-0.200775311556358	0.0112174925625817
N2|fibroblast_caf	N2	fibroblast_caf	CONTROL_PANCREAS	PENG_CRA001160	-0.718110829287963	-0.958777118066535	0.240666288778572	0.253177751170881	0.0112174925625817
N2|myeloid	N2	myeloid	CONTROL_PANCREAS	PENG_CRA001160	-0.550958719881251	-0.787935153120214	0.236976433238963	0.256755378648955	0.001095990682655
N2|nonmalignant_epithelial	N2	nonmalignant_epithelial	CONTROL_PANCREAS	PENG_CRA001160	-0.552750869524297	-0.454982941166561	-0.0977679283577359	-0.0780669024974419	0.0112174925625817
N3|endothelial	N3	endothelial	CONTROL_PANCREAS	PENG_CRA001160	-0.789978917675256	-0.543272155021894	-0.246706762653362	-0.237319999756153	0.00789186207421424
N3|fibroblast_caf	N3	fibroblast_caf	CONTROL_PANCREAS	PENG_CRA001160	-0.866993010000341	-1.11313538155626	0.246142371555915	0.252180695656382	0.00315376359527949
N3|myeloid	N3	myeloid	CONTROL_PANCREAS	PENG_CRA001160	-0.404342680095065	-0.989924473536027	0.585581793440962	0.61173534927644	0.00277037049485031
N3|nonmalignant_epithelial	N3	nonmalignant_epithelial	CONTROL_PANCREAS	PENG_CRA001160	-0.480840926983954	-0.254339665959394	-0.226501261024561	-0.203673715923382	0.00275109878201431
N4|endothelial	N4	endothelial	CONTROL_PANCREAS	PENG_CRA001160	-0.791268938369777	-0.573001599308726	-0.218267339061051	-0.208936664020125	0.00275109878201431
N4|fibroblast_caf	N4	fibroblast_caf	CONTROL_PANCREAS	PENG_CRA001160	-0.852318992981607	-1.0538590535065	0.201540060524897	0.208216385365308	0.006936481298717
N4|nonmalignant_epithelial	N4	nonmalignant_epithelial	CONTROL_PANCREAS	PENG_CRA001160	-0.512307073646922	-0.443480053367753	-0.0688270202791688	-0.0525141464192581	0.00446060628222613
N5|endothelial	N5	endothelial	CONTROL_PANCREAS	PENG_CRA001160	-0.669996563236413	-0.529252043201316	-0.140744520035098	-0.126141133031852	0.006936481298717
N5|fibroblast_caf	N5	fibroblast_caf	CONTROL_PANCREAS	PENG_CRA001160	-0.75214228880267	-1.18735371365961	0.435211424856942	0.446243258574698	0.00277037049485031
N5|nonmalignant_epithelial	N5	nonmalignant_epithelial	CONTROL_PANCREAS	PENG_CRA001160	-0.466547430659186	-0.526737883685183	0.0601904530259964	0.0836394544891214	0.0112174925625817
N6|endothelial	N6	endothelial	CONTROL_PANCREAS	PENG_CRA001160	-0.782439883858758	-0.767521937054956	-0.0149179468038021	-0.00520339982761497	0.0197433054742246
N6|fibroblast_caf	N6	fibroblast_caf	CONTROL_PANCREAS	PENG_CRA001160	-0.76079074936611	-1.06270796431672	0.301917214950611	0.31257302864387	0.14160778056506
N6|nonmalignant_epithelial	N6	nonmalignant_epithelial	CONTROL_PANCREAS	PENG_CRA001160	-0.217236272497446	-0.197301169599131	-0.0199351028983151	-0.0203560263337062	0.0112174925625817
N7|endothelial	N7	endothelial	CONTROL_PANCREAS	PENG_CRA001160	-0.747163396923769	-0.507061961483376	-0.240101435440393	-0.228853128162684	0.0112174925625817
N7|fibroblast_caf	N7	fibroblast_caf	CONTROL_PANCREAS	PENG_CRA001160	-0.824460881714109	-1.07368343085507	0.249222549140964	0.257110096210397	0.0137211592825189
N7|nonmalignant_epithelial	N7	nonmalignant_epithelial	CONTROL_PANCREAS	PENG_CRA001160	-0.535269215462836	-0.47996419251095	-0.0553050229518857	-0.0348439251758758	0.00446060628222613
N8|endothelial	N8	endothelial	CONTROL_PANCREAS	PENG_CRA001160	-0.691515080275539	-0.603909073499031	-0.087606006776508	-0.0739382074706155	0.0112174925625817
N8|fibroblast_caf	N8	fibroblast_caf	CONTROL_PANCREAS	PENG_CRA001160	-0.71259208695749	-1.00484633525994	0.292254248302449	0.305005656013473	0.0197433054742246
N8|myeloid	N8	myeloid	CONTROL_PANCREAS	PENG_CRA001160	-0.545887614997129	-0.98438886357219	0.438501248575061	0.458500676806102	0.001095990682655
N8|nonmalignant_epithelial	N8	nonmalignant_epithelial	CONTROL_PANCREAS	PENG_CRA001160	-0.303551919875653	-0.523032503662791	0.219480583787138	0.250016346588678	0.121959895973065
N9|endothelial	N9	endothelial	CONTROL_PANCREAS	PENG_CRA001160	-0.741193047209228	-0.478143582223926	-0.263049464985303	-0.251541577285223	0.0112174925625817
N9|fibroblast_caf	N9	fibroblast_caf	CONTROL_PANCREAS	PENG_CRA001160	-0.687715969025724	-0.792490707938852	0.104774738913129	0.118607716969013	0.006936481298717
N9|myeloid	N9	myeloid	CONTROL_PANCREAS	PENG_CRA001160	-0.452841824945302	-0.727496061065725	0.274654236120423	0.298699133484152	0.00177886377378597
N9|nonmalignant_epithelial	N9	nonmalignant_epithelial	CONTROL_PANCREAS	PENG_CRA001160	-0.357949547005419	-0.164118630418655	-0.193830916586764	-0.165660268008258	0.00446060628222613
T10|B_cell	T10	B_cell	PDAC_TUMOR	PENG_CRA001160	-0.0824315666617853	0.357634083230409	-0.440065649892194	-0.456295094658305	0.0138162126750525
T10|T_cell	T10	T_cell	PDAC_TUMOR	PENG_CRA001160	-0.0290159512797389	0.376912612910974	-0.405928564190713	-0.444101376015759	0.00277037049485031
T10|endothelial	T10	endothelial	PDAC_TUMOR	PENG_CRA001160	0.0234149185833724	0.404383955083923	-0.380969036500551	-0.408987316894972	0.0138162126750525
T10|fibroblast_caf	T10	fibroblast_caf	PDAC_TUMOR	PENG_CRA001160	-0.143241501746469	0.288745378414944	-0.431986880161413	-0.455718763436876	0.00277037049485031
T10|malignant_epithelial	T10	malignant_epithelial	PDAC_TUMOR	PENG_CRA001160	0.500014457462603	1.54863465253159	-1.04862019506899	-1.11038053243818	0.001095990682655
T10|myeloid	T10	myeloid	PDAC_TUMOR	PENG_CRA001160	-0.022149588284602	0.17820045664205	-0.200350044926652	-0.250573740822611	0.00449179932142955
T11|T_cell	T11	T_cell	PDAC_TUMOR	PENG_CRA001160	-0.124550041244971	-0.543002994838113	0.418452953593143	0.390978604446301	0.411928196843502
T11|endothelial	T11	endothelial	PDAC_TUMOR	PENG_CRA001160	-0.514988275968673	-0.427277533801971	-0.0877107421667022	-0.142089722173488	0.0922053534926923
T11|fibroblast_caf	T11	fibroblast_caf	PDAC_TUMOR	PENG_CRA001160	-0.177544858102923	-0.616668912649837	0.439124054546914	0.412183283772901	0.0769164487674361
T11|malignant_epithelial	T11	malignant_epithelial	PDAC_TUMOR	PENG_CRA001160	1.36061950297915	1.10321565448945	0.257403848489692	0.193354647144301	0.0787828827471843
T11|myeloid	T11	myeloid	PDAC_TUMOR	PENG_CRA001160	-0.184160859607509	-0.53966446020913	0.355503600601622	0.336082197447304	0.385800357223105
T11|nonmalignant_epithelial	T11	nonmalignant_epithelial	PDAC_TUMOR	PENG_CRA001160	0.010788218120309	0.147265461301882	-0.136477243181573	-0.164292286003193	0.00275109878201431
T12|B_cell	T12	B_cell	PDAC_TUMOR	PENG_CRA001160	-0.528561544379661	-0.865829878195389	0.337268333815727	0.358021069464919	0.0340263937792707
T12|T_cell	T12	T_cell	PDAC_TUMOR	PENG_CRA001160	-0.445556281174869	-0.706272040394303	0.260715759219434	0.285077419355791	0.006936481298717
T12|endothelial	T12	endothelial	PDAC_TUMOR	PENG_CRA001160	-0.613754937256327	-0.556943809415658	-0.0568111278406697	-0.0497320587204232	0.0197433054742246
T12|fibroblast_caf	T12	fibroblast_caf	PDAC_TUMOR	PENG_CRA001160	-0.569664316598383	-0.802314766773572	0.23265045017519	0.251616108771393	0.0197433054742246
T12|malignant_epithelial	T12	malignant_epithelial	PDAC_TUMOR	PENG_CRA001160	1.60263661143569	1.12751046769465	0.475126143741034	0.472785254980558	0.00277037049485031
T12|myeloid	T12	myeloid	PDAC_TUMOR	PENG_CRA001160	-0.318580708785056	-0.654839662205335	0.336258953420279	0.350368886024074	0.0340263937792707
T12|nonmalignant_epithelial	T12	nonmalignant_epithelial	PDAC_TUMOR	PENG_CRA001160	0.813651670202529	0.14255670769414	0.671094962508388	0.682199179053979	0.0112174925625817
T13|T_cell	T13	T_cell	PDAC_TUMOR	PENG_CRA001160	-0.407505050811438	-0.639846552698966	0.232341501887528	0.258357563344034	0.00449179932142955
T13|endothelial	T13	endothelial	PDAC_TUMOR	PENG_CRA001160	-0.479938758042097	-0.193189500553134	-0.286749257488962	-0.301259870158155	0.0922053534926923
T13|fibroblast_caf	T13	fibroblast_caf	PDAC_TUMOR	PENG_CRA001160	-0.422953007426619	-0.433254382918412	0.0103013754917934	0.0253415790475345	0.0197433054742246
T13|malignant_epithelial	T13	malignant_epithelial	PDAC_TUMOR	PENG_CRA001160	1.22003967336033	1.50326203746464	-0.283222364104314	-0.310460224207884	0.0328945674191934
T13|myeloid	T13	myeloid	PDAC_TUMOR	PENG_CRA001160	-0.223291895559354	-0.370883554077401	0.147591658518047	0.168535431534285	0.00277037049485031
T13|nonmalignant_epithelial	T13	nonmalignant_epithelial	PDAC_TUMOR	PENG_CRA001160	-0.0658215400748372	0.0381103644761505	-0.103931904550988	-0.101956371113984	0.0112174925625817
T14|endothelial	T14	endothelial	PDAC_TUMOR	PENG_CRA001160	-0.506424238188192	1.14054731165429	-1.64697154984248	-1.67822000847781	0.00277037049485031
T14|fibroblast_caf	T14	fibroblast_caf	PDAC_TUMOR	PENG_CRA001160	-0.373937874276837	0.811151750181133	-1.18508962445797	-1.21904479705811	0.00277037049485031
T14|malignant_epithelial	T14	malignant_epithelial	PDAC_TUMOR	PENG_CRA001160	0.395588080173171	2.24145972999094	-1.84587164981777	-1.9006179400351	0.001095990682655
T14|myeloid	T14	myeloid	PDAC_TUMOR	PENG_CRA001160	-0.0968830544660483	1.06666499140414	-1.16354804587019	-1.2054015127318	0.0138162126750525
T15|B_cell	T15	B_cell	PDAC_TUMOR	PENG_CRA001160	-0.465774985949941	-0.441888154297958	-0.0238868316519825	-0.000404245636281553	0.00277037049485031
T15|T_cell	T15	T_cell	PDAC_TUMOR	PENG_CRA001160	-0.486919302816605	-0.546994015807825	0.0600747129912201	0.0402769931503684	0.00277037049485031
T15|endothelial	T15	endothelial	PDAC_TUMOR	PENG_CRA001160	-0.510530975029952	-0.269355940947895	-0.241175034082057	-0.278501999480919	0.0388284380442186
T15|fibroblast_caf	T15	fibroblast_caf	PDAC_TUMOR	PENG_CRA001160	-0.455855529451476	-0.414576226200475	-0.0412793032510004	-0.073734452815205	0.0197433054742246
T15|malignant_epithelial	T15	malignant_epithelial	PDAC_TUMOR	PENG_CRA001160	1.28677170066543	1.46765368060489	-0.18088197993946	-0.247704822006454	0.0138162126750525
T15|myeloid	T15	myeloid	PDAC_TUMOR	PENG_CRA001160	-0.328735284851712	-0.39408506760359	0.0653497827518779	0.0674082851911372	0.0138162126750525
T15|nonmalignant_epithelial	T15	nonmalignant_epithelial	PDAC_TUMOR	PENG_CRA001160	-0.158343761724215	-0.0365481833995795	-0.121795578324636	-0.137791080064775	0.006936481298717
T16|T_cell	T16	T_cell	PDAC_TUMOR	PENG_CRA001160	0.242169304184968	-0.519760351362849	0.761929655547817	0.739433042048137	0.939003344146698
T16|endothelial	T16	endothelial	PDAC_TUMOR	PENG_CRA001160	0.0476008762022871	-0.632956186724662	0.680557062926949	0.679733064704084	0.991233391480979
T16|fibroblast_caf	T16	fibroblast_caf	PDAC_TUMOR	PENG_CRA001160	0.0620564269375364	-0.742818568779151	0.804874995716687	0.810966053255027	0.957303355781686
T16|malignant_epithelial	T16	malignant_epithelial	PDAC_TUMOR	PENG_CRA001160	2.29525462959708	0.280432181176713	2.01482244842037	2.00867528137831	0.978246776234735
T16|myeloid	T16	myeloid	PDAC_TUMOR	PENG_CRA001160	0.261503794471046	-0.694817128521651	0.956320922992697	0.981130751048126	0.991233391480979
T16|nonmalignant_epithelial	T16	nonmalignant_epithelial	PDAC_TUMOR	PENG_CRA001160	0.283639708162021	-0.199305464159345	0.482945172321366	0.496457006188745	0.121959895973065
T17|T_cell	T17	T_cell	PDAC_TUMOR	PENG_CRA001160	0.0229198112736443	0.037775087700818	-0.0148552764271737	-0.0245499123405805	0.0138162126750525
T17|endothelial	T17	endothelial	PDAC_TUMOR	PENG_CRA001160	-0.25953326406175	-0.133532670138512	-0.126000593923239	-0.110213548847242	0.0932992832110751
T17|fibroblast_caf	T17	fibroblast_caf	PDAC_TUMOR	PENG_CRA001160	0.158001882759118	-0.15606402714887	0.314065909907988	0.3166280133009	0.0320774122042057
T17|malignant_epithelial	T17	malignant_epithelial	PDAC_TUMOR	PENG_CRA001160	1.41027420767742	1.06281473494958	0.347459472727844	0.33589044298162	0.0898064884342037
T17|myeloid	T17	myeloid	PDAC_TUMOR	PENG_CRA001160	-0.00067087138301844	-0.0352637217754778	0.0345928503924593	0.0466081680310316	0.00177886377378597
T18|endothelial	T18	endothelial	PDAC_TUMOR	PENG_CRA001160	-0.61897914599975	0.553556475648322	-1.17253562164807	-1.18444943362305	0.0138162126750525
T18|fibroblast_caf	T18	fibroblast_caf	PDAC_TUMOR	PENG_CRA001160	-0.558341719819278	0.402201775974266	-0.960543495793543	-0.974073748764972	0.001095990682655
T18|malignant_epithelial	T18	malignant_epithelial	PDAC_TUMOR	PENG_CRA001160	0.279752708076877	2.16275587240997	-1.88300316433309	-1.9366001091377	0.001095990682655
