dataset_id	feature_name	feature_family	expected_genes_or_targets	detected_genes_or_targets	coverage_fraction	patient_coverage	cell_type_coverage	eligibility	exclusion_reason
PENG_CRA001160	Moffitt50	state	50	48	0.96	35	7	ELIGIBLE	""
PENG_CRA001160	Moffitt49_no_LEMD1	state	49	47	0.959183673469388	35	7	ELIGIBLE	""
PENG_CRA001160	PurIST_gene_pairs	state	16	16	1	35	7	ELIGIBLE	""
PENG_CRA001160	MEblack	module	270	68	0.251851851851852	35	7	INELIGIBLE	LOW_GENE_COVERAGE
PENG_CRA001160	MEblue	module	1691	582	0.344175044352454	35	7	INELIGIBLE	LOW_GENE_COVERAGE
PENG_CRA001160	MEgreen	module	515	199	0.386407766990291	35	7	INELIGIBLE	LOW_GENE_COVERAGE
PENG_CRA001160	MEtan	module	103	50	0.485436893203884	35	7	INELIGIBLE	LOW_GENE_COVERAGE
PENG_CRA001160	MEgreenyellow	module	166	53	0.319277108433735	35	7	INELIGIBLE	LOW_GENE_COVERAGE
PENG_CRA001160	HALLMARK_PROTEIN_SECRETION	hallmark	96	94	0.979166666666667	35	7	ELIGIBLE	""
PENG_CRA001160	HALLMARK_SPERMATOGENESIS	hallmark	135	111	0.822222222222222	35	7	ELIGIBLE	""
PENG_CRA001160	BHLHE40	partially_replicated_tf	58	56	0.96551724137931	35	7	ELIGIBLE	""
PENG_CRA001160	CTCFL	externally_replicated_tf	54	50	0.925925925925926	35	7	ELIGIBLE	""
PENG_CRA001160	E2F6	partially_replicated_tf	69	67	0.971014492753623	35	7	ELIGIBLE	""
PENG_CRA001160	ELF1	partially_replicated_tf	51	48	0.941176470588235	35	7	ELIGIBLE	""
PENG_CRA001160	GRHL2	partially_replicated_tf	79	74	0.936708860759494	35	7	ELIGIBLE	""
PENG_CRA001160	IRF3	externally_replicated_tf	74	65	0.878378378378378	35	7	ELIGIBLE	""
PENG_CRA001160	JUNB	externally_replicated_tf	52	52	1	35	7	ELIGIBLE	""
PENG_CRA001160	KLF1	partially_replicated_tf	51	46	0.901960784313725	35	7	ELIGIBLE	""
PENG_CRA001160	KLF13	externally_replicated_tf	31	30	0.967741935483871	35	7	ELIGIBLE	""
PENG_CRA001160	KLF9	externally_replicated_tf	68	66	0.970588235294118	35	7	ELIGIBLE	""
PENG_CRA001160	MBD1	partially_replicated_tf	44	43	0.977272727272727	35	7	ELIGIBLE	""
PENG_CRA001160	MBD2	partially_replicated_tf	32	28	0.875	35	7	ELIGIBLE	""
PENG_CRA001160	MNT	externally_replicated_tf	56	54	0.964285714285714	35	7	ELIGIBLE	""
PENG_CRA001160	MXI1	externally_replicated_tf	77	71	0.922077922077922	35	7	ELIGIBLE	""
PENG_CRA001160	OTX2	partially_replicated_tf	24	23	0.958333333333333	35	7	ELIGIBLE	""
PENG_CRA001160	SIX5	partially_replicated_tf	25	24	0.96	35	7	ELIGIBLE	""
PENG_CRA001160	SNAI2	externally_replicated_tf	66	62	0.939393939393939	35	7	ELIGIBLE	""
PENG_CRA001160	SNAPC4	partially_replicated_tf	30	30	1	35	7	ELIGIBLE	""
PENG_CRA001160	TFAP4	externally_replicated_tf	40	39	0.975	35	7	ELIGIBLE	""
PENG_CRA001160	TP63	externally_replicated_tf	19	19	1	35	7	ELIGIBLE	""
PENG_CRA001160	ZBED1	partially_replicated_tf	22	22	1	35	7	ELIGIBLE	""
PENG_CRA001160	ZBTB7A	externally_replicated_tf	90	86	0.955555555555556	35	7	ELIGIBLE	""
PENG_CRA001160	ZNF24	externally_replicated_tf	20	20	1	35	7	ELIGIBLE	""
PENG_CRA001160	ZNF384	partially_replicated_tf	66	63	0.954545454545455	35	7	ELIGIBLE	""
PENG_CRA001160	ZNF740	partially_replicated_tf	38	36	0.947368421052632	35	7	ELIGIBLE	""
