feature_name	feature_layer	composition_covariate	coefficient	p_value	q_value	is_composition_sensitive	independent_review_status	notes
HALLMARK_PROTEIN_SECRETION	Hallmark	endothelial_fraction	-0.0240851707780611	0.137177217051993	0.274354434103987	FALSE	PASS	No significant composition effect for endothelial_fraction (q >= 0.10).
HALLMARK_SPERMATOGENESIS	Hallmark	endothelial_fraction	0.0028234244306698	0.884101334375217	0.884101334375217	FALSE	PASS	No significant composition effect for endothelial_fraction (q >= 0.10).
CTCFL	externally replicated TF	endothelial_fraction	1.06666354297949	0.14447286802675	0.288945736053499	FALSE	PASS	No significant composition effect for endothelial_fraction (q >= 0.10).
IRF3	externally replicated TF	endothelial_fraction	-1.59566659405344	0.0004929568668248	0.0059154824018976	TRUE	PASS	Significant composition effect for endothelial_fraction (q < 0.10).
JUNB	externally replicated TF	endothelial_fraction	-0.225570333983519	0.532117476796792	0.580491792869228	FALSE	PASS	No significant composition effect for endothelial_fraction (q >= 0.10).
KLF13	externally replicated TF	endothelial_fraction	-0.280749721913609	0.444653169581299	0.533583803497559	FALSE	PASS	No significant composition effect for endothelial_fraction (q >= 0.10).
KLF9	externally replicated TF	endothelial_fraction	1.54848132743909	0.0950270805616596	0.285081241684979	FALSE	PASS	No significant composition effect for endothelial_fraction (q >= 0.10).
MNT	externally replicated TF	endothelial_fraction	0.991300777576606	0.12340652108007	0.288945736053499	FALSE	PASS	No significant composition effect for endothelial_fraction (q >= 0.10).
MXI1	externally replicated TF	endothelial_fraction	-0.509062993715543	0.418442843445225	0.533583803497559	FALSE	PASS	No significant composition effect for endothelial_fraction (q >= 0.10).
SNAI2	externally replicated TF	endothelial_fraction	0.779741851824487	0.198182864531113	0.339742053481908	FALSE	PASS	No significant composition effect for endothelial_fraction (q >= 0.10).
TFAP4	externally replicated TF	endothelial_fraction	0.646713087108242	0.304750881670518	0.457126322505778	FALSE	PASS	No significant composition effect for endothelial_fraction (q >= 0.10).
TP63	externally replicated TF	endothelial_fraction	-1.00364597307515	0.0311992300128858	0.124796920051543	FALSE	PASS	No significant composition effect for endothelial_fraction (q >= 0.10).
ZBTB7A	externally replicated TF	endothelial_fraction	-0.465812956494675	0.604281920390763	0.604281920390763	FALSE	PASS	No significant composition effect for endothelial_fraction (q >= 0.10).
ZNF24	externally replicated TF	endothelial_fraction	1.00848393200324	0.0040443418299308	0.0242660509795852	TRUE	PASS	Significant composition effect for endothelial_fraction (q < 0.10).
BHLHE40	partially replicated TF	endothelial_fraction	1.33542449728681	0.0272661004916533	0.096017963878249	TRUE	PASS	Significant composition effect for endothelial_fraction (q < 0.10).
E2F6	partially replicated TF	endothelial_fraction	0.330906009196972	0.274801210182543	0.508552725591733	FALSE	PASS	No significant composition effect for endothelial_fraction (q >= 0.10).
ELF1	partially replicated TF	endothelial_fraction	0.203308788338881	0.573561062751255	0.745629381576631	FALSE	PASS	No significant composition effect for endothelial_fraction (q >= 0.10).
GRHL2	partially replicated TF	endothelial_fraction	-0.602508499044993	0.223382860958948	0.483996198744388	FALSE	PASS	No significant composition effect for endothelial_fraction (q >= 0.10).
KLF1	partially replicated TF	endothelial_fraction	-0.435532330138587	0.375758304817259	0.542761995847151	FALSE	PASS	No significant composition effect for endothelial_fraction (q >= 0.10).
MBD1	partially replicated TF	endothelial_fraction	0.172881765489198	0.723561952599978	0.783858781983309	FALSE	PASS	No significant composition effect for endothelial_fraction (q >= 0.10).
MBD2	partially replicated TF	endothelial_fraction	0.356384048373221	0.0645666775785205	0.167873361704153	FALSE	PASS	No significant composition effect for endothelial_fraction (q >= 0.10).
OTX2	partially replicated TF	endothelial_fraction	0.691901388151408	0.0002042499781015	0.0026552497153198	TRUE	PASS	Significant composition effect for endothelial_fraction (q < 0.10).
SIX5	partially replicated TF	endothelial_fraction	1.24538916770363	0.0295439888856151	0.096017963878249	TRUE	PASS	Significant composition effect for endothelial_fraction (q < 0.10).
SNAPC4	partially replicated TF	endothelial_fraction	-0.159800814930725	0.697958400552485	0.783858781983309	FALSE	PASS	No significant composition effect for endothelial_fraction (q >= 0.10).
ZBED1	partially replicated TF	endothelial_fraction	-0.782014054178555	0.0041552434150286	0.0270090821976865	TRUE	PASS	Significant composition effect for endothelial_fraction (q < 0.10).
ZNF384	partially replicated TF	endothelial_fraction	0.4280219708981	0.312955523441066	0.508552725591733	FALSE	PASS	No significant composition effect for endothelial_fraction (q >= 0.10).
ZNF740	partially replicated TF	endothelial_fraction	0.12834154240628	0.81600029860076	0.81600029860076	FALSE	PASS	No significant composition effect for endothelial_fraction (q >= 0.10).
HALLMARK_PROTEIN_SECRETION	Hallmark	fibroblast_caf_fraction	0.0106025989940405	0.398230207407394	0.398230207407394	FALSE	PASS	No significant composition effect for fibroblast_caf_fraction (q >= 0.10).
HALLMARK_SPERMATOGENESIS	Hallmark	fibroblast_caf_fraction	0.0207909361538405	0.0335989582873536	0.0671979165747071	TRUE	PASS	Significant composition effect for fibroblast_caf_fraction (q < 0.10).
CTCFL	externally replicated TF	fibroblast_caf_fraction	0.334242457828972	0.438450425184342	0.869661989076846	FALSE	PASS	No significant composition effect for fibroblast_caf_fraction (q >= 0.10).
IRF3	externally replicated TF	fibroblast_caf_fraction	1.20195242417797	0.0707476096684319	0.282990438673728	FALSE	PASS	No significant composition effect for fibroblast_caf_fraction (q >= 0.10).
JUNB	externally replicated TF	fibroblast_caf_fraction	0.734382687356025	0.0030699720374625	0.0368396644495505	TRUE	PASS	Significant composition effect for fibroblast_caf_fraction (q < 0.10).
KLF13	externally replicated TF	fibroblast_caf_fraction	-0.284799768330031	0.507302826961493	0.869661989076846	FALSE	PASS	No significant composition effect for fibroblast_caf_fraction (q >= 0.10).
KLF9	externally replicated TF	fibroblast_caf_fraction	-0.0939288093427617	0.869637920371916	0.966949629496333	FALSE	PASS	No significant composition effect for fibroblast_caf_fraction (q >= 0.10).
MNT	externally replicated TF	fibroblast_caf_fraction	-0.735247729654703	0.0573749564106179	0.282990438673728	FALSE	PASS	No significant composition effect for fibroblast_caf_fraction (q >= 0.10).
MXI1	externally replicated TF	fibroblast_caf_fraction	-0.0702038784043521	0.804587222855338	0.966949629496333	FALSE	PASS	No significant composition effect for fibroblast_caf_fraction (q >= 0.10).
SNAI2	externally replicated TF	fibroblast_caf_fraction	-0.657815604654487	0.204290754179475	0.576478511687611	FALSE	PASS	No significant composition effect for fibroblast_caf_fraction (q >= 0.10).
TFAP4	externally replicated TF	fibroblast_caf_fraction	0.013296028262908	0.966949629496333	0.966949629496333	FALSE	PASS	No significant composition effect for fibroblast_caf_fraction (q >= 0.10).
TP63	externally replicated TF	fibroblast_caf_fraction	0.11461945259683	0.773654129648349	0.966949629496333	FALSE	PASS	No significant composition effect for fibroblast_caf_fraction (q >= 0.10).
ZBTB7A	externally replicated TF	fibroblast_caf_fraction	0.0527658124895137	0.927995926016033	0.966949629496333	FALSE	PASS	No significant composition effect for fibroblast_caf_fraction (q >= 0.10).
ZNF24	externally replicated TF	fibroblast_caf_fraction	-0.434100731402646	0.240199379869838	0.576478511687611	FALSE	PASS	No significant composition effect for fibroblast_caf_fraction (q >= 0.10).
BHLHE40	partially replicated TF	fibroblast_caf_fraction	-0.940759609855115	0.0147842632856433	0.0960977113566816	TRUE	PASS	Significant composition effect for fibroblast_caf_fraction (q < 0.10).
E2F6	partially replicated TF	fibroblast_caf_fraction	-0.547881422341154	0.123427890778378	0.401140645029729	FALSE	PASS	No significant composition effect for fibroblast_caf_fraction (q >= 0.10).
ELF1	partially replicated TF	fibroblast_caf_fraction	0.0305272691089193	0.915909120235334	0.989043836493594	FALSE	PASS	No significant composition effect for fibroblast_caf_fraction (q >= 0.10).
GRHL2	partially replicated TF	fibroblast_caf_fraction	-0.295920298958195	0.439218030114065	0.815690627354692	FALSE	PASS	No significant composition effect for fibroblast_caf_fraction (q >= 0.10).
KLF1	partially replicated TF	fibroblast_caf_fraction	1.09532969686752	0.0063050603747109	0.0819657848712423	TRUE	PASS	Significant composition effect for fibroblast_caf_fraction (q < 0.10).
MBD1	partially replicated TF	fibroblast_caf_fraction	-0.0044528737684482	0.989043836493594	0.989043836493594	FALSE	PASS	No significant composition effect for fibroblast_caf_fraction (q >= 0.10).
MBD2	partially replicated TF	fibroblast_caf_fraction	-0.0958991311390544	0.731136012014526	0.864069832380803	FALSE	PASS	No significant composition effect for fibroblast_caf_fraction (q >= 0.10).
OTX2	partially replicated TF	fibroblast_caf_fraction	0.133692218098127	0.354673444258315	0.768459129226349	FALSE	PASS	No significant composition effect for fibroblast_caf_fraction (q >= 0.10).
SIX5	partially replicated TF	fibroblast_caf_fraction	-0.290797319878337	0.344362169943217	0.768459129226349	FALSE	PASS	No significant composition effect for fibroblast_caf_fraction (q >= 0.10).
SNAPC4	partially replicated TF	fibroblast_caf_fraction	0.107610341666203	0.666560409833979	0.864069832380803	FALSE	PASS	No significant composition effect for fibroblast_caf_fraction (q >= 0.10).
ZBED1	partially replicated TF	fibroblast_caf_fraction	0.534456966318812	0.118738466841912	0.401140645029729	FALSE	PASS	No significant composition effect for fibroblast_caf_fraction (q >= 0.10).
ZNF384	partially replicated TF	fibroblast_caf_fraction	-0.176767259145536	0.518921562948449	0.843247539791229	FALSE	PASS	No significant composition effect for fibroblast_caf_fraction (q >= 0.10).
ZNF740	partially replicated TF	fibroblast_caf_fraction	0.119852687627816	0.710671862879349	0.864069832380803	FALSE	PASS	No significant composition effect for fibroblast_caf_fraction (q >= 0.10).
HALLMARK_PROTEIN_SECRETION	Hallmark	malignant_epithelial_fraction	0.0186959797855909	0.0126072365310235	0.0252144730620469	TRUE	PASS	Significant composition effect for malignant_epithelial_fraction (q < 0.10).
HALLMARK_SPERMATOGENESIS	Hallmark	malignant_epithelial_fraction	-0.0127054393375221	0.186643251139894	0.186643251139894	FALSE	PASS	No significant composition effect for malignant_epithelial_fraction (q >= 0.10).
CTCFL	externally replicated TF	malignant_epithelial_fraction	-0.218910033165818	0.431255326016833	0.535021860286924	FALSE	PASS	No significant composition effect for malignant_epithelial_fraction (q >= 0.10).
IRF3	externally replicated TF	malignant_epithelial_fraction	0.428578287924993	0.141353746975424	0.339248992741018	FALSE	PASS	No significant composition effect for malignant_epithelial_fraction (q >= 0.10).
JUNB	externally replicated TF	malignant_epithelial_fraction	0.183978898605443	0.362177862416954	0.535021860286924	FALSE	PASS	No significant composition effect for malignant_epithelial_fraction (q >= 0.10).
KLF13	externally replicated TF	malignant_epithelial_fraction	0.187757607476595	0.291751922684805	0.516442734694681	FALSE	PASS	No significant composition effect for malignant_epithelial_fraction (q >= 0.10).
KLF9	externally replicated TF	malignant_epithelial_fraction	-0.18710820299499	0.648820139380479	0.648820139380479	FALSE	PASS	No significant composition effect for malignant_epithelial_fraction (q >= 0.10).
MNT	externally replicated TF	malignant_epithelial_fraction	-0.651245309518774	0.0055181420251235	0.0220725681004944	TRUE	PASS	Significant composition effect for malignant_epithelial_fraction (q < 0.10).
MXI1	externally replicated TF	malignant_epithelial_fraction	0.180453261521036	0.301258261905231	0.516442734694681	FALSE	PASS	No significant composition effect for malignant_epithelial_fraction (q >= 0.10).
SNAI2	externally replicated TF	malignant_epithelial_fraction	-0.705683488868783	0.0115400483991265	0.0346201451973795	TRUE	PASS	Significant composition effect for malignant_epithelial_fraction (q < 0.10).
TFAP4	externally replicated TF	malignant_epithelial_fraction	-0.100800658265407	0.623546833505512	0.648820139380479	FALSE	PASS	No significant composition effect for malignant_epithelial_fraction (q >= 0.10).
TP63	externally replicated TF	malignant_epithelial_fraction	0.735050621830442	0.0003997915755425	0.0023987494532554	TRUE	PASS	Significant composition effect for malignant_epithelial_fraction (q < 0.10).
