feature_name	feature_layer	single_cell_coverage	eligibility	primary_cell_source	malignant_cell_association	composition_sensitivity	negative_control_support	final_category	classification_reason	independent_review_status	notes
BHLHE40	TF_regulon	0.96551724137931	ELIGIBLE	B_cell	NOT_SUPPORTED_AT_Q0.10	endothelial_fraction;fibroblast_caf_fraction;malignant_epithelial_fraction	NEGATIVE_CONTROL_SENSITIVE	CELL_COMPOSITION_EXPLAINED	Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls.	PASS	Feature classified as CELL_COMPOSITION_EXPLAINED based on locked rules.
CTCFL	TF_regulon	0.925925925925926	ELIGIBLE	endothelial	NOT_SUPPORTED_AT_Q0.10	myeloid_fraction	NEGATIVE_CONTROL_SENSITIVE	CELL_COMPOSITION_EXPLAINED	Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls.	PASS	Feature classified as CELL_COMPOSITION_EXPLAINED based on locked rules.
E2F6	TF_regulon	0.971014492753623	ELIGIBLE	B_cell	NOT_SUPPORTED_AT_Q0.10	malignant_epithelial_fraction	NEGATIVE_CONTROL_SENSITIVE	CELL_COMPOSITION_EXPLAINED	Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls.	PASS	Feature classified as CELL_COMPOSITION_EXPLAINED based on locked rules.
ELF1	TF_regulon	0.941176470588235	ELIGIBLE	endothelial	NOT_SUPPORTED_AT_Q0.10	NOT_COMPOSITION_EXPLAINED_AT_Q0.10	NEGATIVE_CONTROL_SENSITIVE	STROMAL_OR_IMMUNE_SOURCE_SUPPORTED	Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls.	PASS	Feature classified as STROMAL_OR_IMMUNE_SOURCE_SUPPORTED based on locked rules.
GRHL2	TF_regulon	0.936708860759494	ELIGIBLE	malignant_epithelial	NOT_SUPPORTED_AT_Q0.10	malignant_epithelial_fraction	NEGATIVE_CONTROL_SENSITIVE	CELL_COMPOSITION_EXPLAINED	Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls.	PASS	Feature classified as CELL_COMPOSITION_EXPLAINED based on locked rules.
HALLMARK_PROTEIN_SECRETION	Hallmark	0.979166666666667	ELIGIBLE	malignant_epithelial	SUPPORTED	malignant_epithelial_fraction;lymphoid_fraction	NEGATIVE_CONTROL_SENSITIVE	MALIGNANT_CELL_INTRINSIC_SUPPORT	Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls.	PASS	Feature classified as MALIGNANT_CELL_INTRINSIC_SUPPORT based on locked rules.
HALLMARK_SPERMATOGENESIS	Hallmark	0.822222222222222	ELIGIBLE	B_cell	NOT_SUPPORTED_AT_Q0.10	fibroblast_caf_fraction	NEGATIVE_CONTROL_SENSITIVE	CELL_COMPOSITION_EXPLAINED	Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls.	PASS	Feature classified as CELL_COMPOSITION_EXPLAINED based on locked rules.
IRF3	TF_regulon	0.878378378378378	ELIGIBLE	T_cell	NOT_SUPPORTED_AT_Q0.10	endothelial_fraction;lymphoid_fraction	NEGATIVE_CONTROL_SENSITIVE	CELL_COMPOSITION_EXPLAINED	Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls.	PASS	Feature classified as CELL_COMPOSITION_EXPLAINED based on locked rules.
JUNB	TF_regulon	1.0	ELIGIBLE	endothelial	NOT_SUPPORTED_AT_Q0.10	fibroblast_caf_fraction	NEGATIVE_CONTROL_SENSITIVE	CELL_COMPOSITION_EXPLAINED	Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls.	PASS	Feature classified as CELL_COMPOSITION_EXPLAINED based on locked rules.
KLF1	TF_regulon	0.901960784313725	ELIGIBLE	endothelial	NOT_SUPPORTED_AT_Q0.10	fibroblast_caf_fraction	NEGATIVE_CONTROL_SENSITIVE	CELL_COMPOSITION_EXPLAINED	Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls.	PASS	Feature classified as CELL_COMPOSITION_EXPLAINED based on locked rules.
