feature_name	feature_layer	eligible_patients	coefficient	standard_error	confidence_interval_low	confidence_interval_high	p_value	q_value	effect_direction	is_axis_associated	independent_review_status	notes
HALLMARK_PROTEIN_SECRETION	Hallmark	24	0.0040035459523953	0.0015472892402092	0.0009708590415851	0.0070362328632054	0.0168056162801413	0.0336112325602826	positive	TRUE	PASS	Only feature showing significant association with the malignant-cell Moffitt50 axis (q < 0.10).
HALLMARK_SPERMATOGENESIS	Hallmark	24	0.0017088797030887	0.0054412795552335	-0.008956028225169	0.0123737876313466	0.756435369469319	0.756435369469319	positive	FALSE	PASS	Null association (q >= 0.10).
CTCFL	externally replicated TF	24	0.0170004710661415	0.107774544708928	-0.194237636563357	0.22823857869564	0.876099703210901	0.922949022608732	positive	FALSE	PASS	Null association (q >= 0.10).
IRF3	externally replicated TF	24	0.069959283336668	0.0504281017825595	-0.0288797961571486	0.168798362830485	0.179242684240586	0.537728052721758	positive	FALSE	PASS	Null association (q >= 0.10).
JUNB	externally replicated TF	24	0.114229198820696	0.0792755317502166	-0.0411508434097289	0.26960924105112	0.16369134801265	0.537728052721758	positive	FALSE	PASS	Null association (q >= 0.10).
KLF13	externally replicated TF	24	-0.095303513739187	0.0771304981643949	-0.246479290141401	0.055872262663027	0.229634294582795	0.551122306998709	negative	FALSE	PASS	Null association (q >= 0.10).
KLF9	externally replicated TF	24	0.0321413434386321	0.135529122755743	-0.233495737162624	0.297778424039889	0.81473137774062	0.922949022608732	positive	FALSE	PASS	Null association (q >= 0.10).
MNT	externally replicated TF	24	-0.0740406367140299	0.0710877955127872	-0.213372715919093	0.0652914424910331	0.308937229789945	0.617874459579891	negative	FALSE	PASS	Null association (q >= 0.10).
MXI1	externally replicated TF	24	-0.0393551374353078	0.0678908001193104	-0.172421105669156	0.0937108307985405	0.568018016424098	0.922949022608732	negative	FALSE	PASS	Null association (q >= 0.10).
SNAI2	externally replicated TF	24	0.020968178643493	0.071108027613946	-0.118403555479841	0.160339912766827	0.770851965790881	0.922949022608732	positive	FALSE	PASS	Null association (q >= 0.10).
TFAP4	externally replicated TF	24	0.0053796243924744	0.0549865731148979	-0.102394058912725	0.113153307697674	0.922949022608732	0.922949022608732	positive	FALSE	PASS	Null association (q >= 0.10).
TP63	externally replicated TF	24	0.17199657925387	0.0626426041312044	0.0492170751567098	0.294776083351031	0.0118009662766786	0.116337626976309	positive	FALSE	PASS	Null association (q >= 0.10).
ZBTB7A	externally replicated TF	24	-0.019761602752632	0.118281602356053	-0.251593543370496	0.212070337865232	0.868839157215605	0.922949022608732	negative	FALSE	PASS	Null association (q >= 0.10).
ZNF24	externally replicated TF	24	-0.143034161763921	0.0567036672823454	-0.254173349637318	-0.0318949738905245	0.0193896044960514	0.116337626976309	negative	FALSE	PASS	Null association (q >= 0.10).
BHLHE40	partially replicated TF	24	-0.0463594611393541	0.0761053791236434	-0.195526004221695	0.102807081942987	0.54866566225448	0.716597389956531	negative	FALSE	PASS	Null association (q >= 0.10).
E2F6	partially replicated TF	24	-0.0461990712062994	0.0389801077007774	-0.122600082299823	0.0302019398872244	0.248584895120601	0.716597389956531	negative	FALSE	PASS	Null association (q >= 0.10).
ELF1	partially replicated TF	24	-0.0633171333834339	0.0823388669961507	-0.224701312695889	0.0980670459290215	0.450081113339997	0.716597389956531	negative	FALSE	PASS	Null association (q >= 0.10).
GRHL2	partially replicated TF	24	0.06279061126191	0.10419931338433	-0.141440042971377	0.267021265495196	0.552935583727265	0.716597389956531	positive	FALSE	PASS	Null association (q >= 0.10).
KLF1	partially replicated TF	24	0.0391306951711305	0.0748509341992839	-0.107577135859466	0.185838526201727	0.606351637655526	0.716597389956531	positive	FALSE	PASS	Null association (q >= 0.10).
MBD1	partially replicated TF	24	0.0581250836508751	0.0350974864116921	-0.0106659897160414	0.126916157017792	0.111896336491166	0.716597389956531	positive	FALSE	PASS	Null association (q >= 0.10).
MBD2	partially replicated TF	24	0.065472270095524	0.0576255683155392	-0.0474738438029328	0.178418383993981	0.268112263963432	0.716597389956531	positive	FALSE	PASS	Null association (q >= 0.10).
OTX2	partially replicated TF	24	0.0076103647644189	0.056214245596194	-0.102569556604121	0.117790286132959	0.893541373588563	0.941392340793028	positive	FALSE	PASS	Null association (q >= 0.10).
SIX5	partially replicated TF	24	0.0524162746325322	0.0733196549464388	-0.0912902490624879	0.196122798327552	0.482188497175188	0.716597389956531	positive	FALSE	PASS	Null association (q >= 0.10).
SNAPC4	partially replicated TF	24	-0.0031292075151261	0.042079279763302	-0.085604595851198	0.0793461808209458	0.941392340793028	0.941392340793028	negative	FALSE	PASS	Null association (q >= 0.10).
ZBED1	partially replicated TF	24	-0.0167053871002776	0.0286685205631411	-0.0728956874040341	0.0394849132034789	0.566014947028928	0.716597389956531	negative	FALSE	PASS	Null association (q >= 0.10).
ZNF384	partially replicated TF	24	-0.0544513928156768	0.0505801518189469	-0.153588490380813	0.0446857047494591	0.293351455942284	0.716597389956531	negative	FALSE	PASS	Null association (q >= 0.10).
ZNF740	partially replicated TF	24	0.0317396723921011	0.0334331925109345	-0.0337893849293304	0.0972687297135326	0.352757684119153	0.716597389956531	positive	FALSE	PASS	Null association (q >= 0.10).
