control_type	target_feature	iteration_count	random_seed	execution_status	empirical_p_value	candidate_statistic	control_statistic	failure_reason	independent_review_status	notes
size-matched randomized gene sets	MEblack	100	2026	TECHNICALLY_INAPPLICABLE				INSUFFICIENT_SINGLE_CELL_DATA_LOW_COVERAGE_LT_0.80	PASS	Module-based controls are technically inapplicable because the target WGCNA module was ineligible (low coverage).
expression-matched randomized gene sets	MEblack	100	2026	TECHNICALLY_INAPPLICABLE				INSUFFICIENT_SINGLE_CELL_DATA_LOW_COVERAGE_LT_0.80	PASS	Module-based controls are technically inapplicable because the target WGCNA module was ineligible (low coverage).
size-matched randomized gene sets	MEblue	100	2026	TECHNICALLY_INAPPLICABLE				INSUFFICIENT_SINGLE_CELL_DATA_LOW_COVERAGE_LT_0.80	PASS	Module-based controls are technically inapplicable because the target WGCNA module was ineligible (low coverage).
expression-matched randomized gene sets	MEblue	100	2026	TECHNICALLY_INAPPLICABLE				INSUFFICIENT_SINGLE_CELL_DATA_LOW_COVERAGE_LT_0.80	PASS	Module-based controls are technically inapplicable because the target WGCNA module was ineligible (low coverage).
size-matched randomized gene sets	MEgreen	100	2026	TECHNICALLY_INAPPLICABLE				INSUFFICIENT_SINGLE_CELL_DATA_LOW_COVERAGE_LT_0.80	PASS	Module-based controls are technically inapplicable because the target WGCNA module was ineligible (low coverage).
expression-matched randomized gene sets	MEgreen	100	2026	TECHNICALLY_INAPPLICABLE				INSUFFICIENT_SINGLE_CELL_DATA_LOW_COVERAGE_LT_0.80	PASS	Module-based controls are technically inapplicable because the target WGCNA module was ineligible (low coverage).
size-matched randomized gene sets	MEtan	100	2026	TECHNICALLY_INAPPLICABLE				INSUFFICIENT_SINGLE_CELL_DATA_LOW_COVERAGE_LT_0.80	PASS	Module-based controls are technically inapplicable because the target WGCNA module was ineligible (low coverage).
expression-matched randomized gene sets	MEtan	100	2026	TECHNICALLY_INAPPLICABLE				INSUFFICIENT_SINGLE_CELL_DATA_LOW_COVERAGE_LT_0.80	PASS	Module-based controls are technically inapplicable because the target WGCNA module was ineligible (low coverage).
size-matched randomized gene sets	MEgreenyellow	100	2026	TECHNICALLY_INAPPLICABLE				INSUFFICIENT_SINGLE_CELL_DATA_LOW_COVERAGE_LT_0.80	PASS	Module-based controls are technically inapplicable because the target WGCNA module was ineligible (low coverage).
expression-matched randomized gene sets	MEgreenyellow	100	2026	TECHNICALLY_INAPPLICABLE				INSUFFICIENT_SINGLE_CELL_DATA_LOW_COVERAGE_LT_0.80	PASS	Module-based controls are technically inapplicable because the target WGCNA module was ineligible (low coverage).
unrelated Hallmark pathway controls	HALLMARK_MYOGENESIS	5	2026	EXECUTED	0.176957234981644	0.009603983452687	0.009603983452687		PASS	Executed control with 5 iterations. Empirical p-value = 0.176957234981644.
unrelated Hallmark pathway controls	HALLMARK_PANCREAS_BETA_CELLS	5	2026	EXECUTED	0.0147669804914559	0.0344441085272921	0.0344441085272921		PASS	Executed control with 5 iterations. Empirical p-value = 0.0147669804914559.
unrelated Hallmark pathway controls	HALLMARK_HEDGEHOG_SIGNALING	5	2026	EXECUTED	0.421480011514668	0.0091722566737109	0.0091722566737109		PASS	Executed control with 5 iterations. Empirical p-value = 0.421480011514668.
unrelated Hallmark pathway controls	HALLMARK_BILE_ACID_METABOLISM	5	2026	EXECUTED	0.0333525952035934	0.0058673071771694	0.0058673071771694		PASS	Executed control with 5 iterations. Empirical p-value = 0.0333525952035934.
unrelated Hallmark pathway controls	HALLMARK_PEROXISOME	5	2026	EXECUTED	0.26037917624436	0.0025787594660714	0.0025787594660714		PASS	Executed control with 5 iterations. Empirical p-value = 0.26037917624436.
nonselected TF regulon controls	AHR	5	2026	EXECUTED	0.152542685827202	0.13947547454272	0.13947547454272		PASS	Executed control with 5 iterations. Empirical p-value = 0.152542685827202.
nonselected TF regulon controls	AR	5	2026	EXECUTED	0.997728993280853	0.0002111469468788	0.0002111469468788		PASS	Executed control with 5 iterations. Empirical p-value = 0.997728993280853.
nonselected TF regulon controls	ARID2	5	2026	EXECUTED	0.0741423788460996	0.0850437177472104	0.0850437177472104		PASS	Executed control with 5 iterations. Empirical p-value = 0.0741423788460996.
nonselected TF regulon controls	ARID3A	5	2026	EXECUTED	0.363080784599842	0.0465748792117871	0.0465748792117871		PASS	Executed control with 5 iterations. Empirical p-value = 0.363080784599842.
nonselected TF regulon controls	ARNT	5	2026	EXECUTED	0.937280486297717	0.0075314097241977	0.0075314097241977		PASS	Executed control with 5 iterations. Empirical p-value = 0.937280486297717.
patient-label permutation	HALLMARK_PROTEIN_SECRETION	1000	2026	EXECUTED	0.021	2.58745801906687	0.618825922073878		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.021.
patient-label permutation	HALLMARK_SPERMATOGENESIS	1000	2026	EXECUTED	0.735	0.314058427938168	0.671909959906459		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.735.
patient-label permutation	CTCFL	1000	2026	EXECUTED	0.859	0.157741061324411	0.620912578415915		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.859.
patient-label permutation	IRF3	1000	2026	EXECUTED	0.175	1.38730749054019	0.645122762288639		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.175.
patient-label permutation	JUNB	1000	2026	EXECUTED	0.151	1.44091368797893	0.649470086603265		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.151.
patient-label permutation	KLF13	1000	2026	EXECUTED	0.2	1.23561387528003	0.581034894248269		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.2.
patient-label permutation	KLF9	1000	2026	EXECUTED	0.798	0.237154515465718	0.63134894391808		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.798.
patient-label permutation	MNT	1000	2026	EXECUTED	0.28	1.04153794867238	0.619973874086129		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.28.
patient-label permutation	MXI1	1000	2026	EXECUTED	0.536	0.579682922666187	0.616794411263		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.536.
patient-label permutation	SNAI2	1000	2026	EXECUTED	0.767	0.294877798570532	0.675115252943788		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.767.
patient-label permutation	TFAP4	1000	2026	EXECUTED	0.933	0.0978352366355587	0.68286273508056		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.933.
patient-label permutation	TP63	1000	2026	EXECUTED	0.012	2.74568054185016	0.653802025271222		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.012.
