dataset_id	original_annotation	reviewed_annotation	supporting_markers	contradictory_markers	number_of_cells	number_of_patients	audit_status	notes	patient_ubiquity_verified	marker_count	independent_review_status
PENG_CRA001160	Acinar cell	acinar epithelial	PRSS1;PRSS2;CPA1;REG1A;CELA3A	none detected in marker-level audit	1935	28	SOURCE_SUPPORTED_MARKER_CONSISTENT	Marker expression patterns verified; NK and mast cells are absent from this dataset.	TRUE	5	PASS
PENG_CRA001160	B cell	B cell	MS4A1;CD79A;CD79B;MZB1	none detected in marker-level audit	2447	28	SOURCE_SUPPORTED_MARKER_CONSISTENT	Marker expression patterns verified; NK and mast cells are absent from this dataset.	TRUE	4	PASS
PENG_CRA001160	Ductal cell type 1	nonmalignant/ambiguous ductal epithelial	EPCAM;KRT19;KRT7;MUC1;FXYD3;CEACAM6;AMBP	none detected in marker-level audit	10317	33	SOURCE_SUPPORTED_MARKER_CONSISTENT	Marker expression patterns verified; NK and mast cells are absent from this dataset.	TRUE	7	PASS
PENG_CRA001160	Ductal cell type 2	malignant ductal/epithelial	EPCAM;KRT19;KRT7;MUC1;FXYD3;CEACAM6;AMBP	none detected in marker-level audit	11315	24	SOURCE_SUPPORTED_MARKER_CONSISTENT	Marker expression patterns verified; NK and mast cells are absent from this dataset.	TRUE	7	PASS
PENG_CRA001160	Endocrine cell	endocrine epithelial	INS;GCG;SST;PPY	none detected in marker-level audit	729	33	SOURCE_SUPPORTED_MARKER_CONSISTENT	Marker expression patterns verified; NK and mast cells are absent from this dataset.	TRUE	4	PASS
PENG_CRA001160	Endothelial cell	endothelial	PECAM1;VWF;KDR;PLVAP	none detected in marker-level audit	9117	35	SOURCE_SUPPORTED_MARKER_CONSISTENT	Marker expression patterns verified; NK and mast cells are absent from this dataset.	TRUE	4	PASS
PENG_CRA001160	Fibroblast cell	fibroblast/CAF	COL1A1;COL1A2;DCN;LUM;ACTA2;PDPN	none detected in marker-level audit	6742	34	SOURCE_SUPPORTED_MARKER_CONSISTENT	Marker expression patterns verified; NK and mast cells are absent from this dataset.	TRUE	6	PASS
PENG_CRA001160	Macrophage cell	myeloid/macrophage	LYZ;LST1;CD68;C1QA;FCGR3A	none detected in marker-level audit	5361	34	SOURCE_SUPPORTED_MARKER_CONSISTENT	Marker expression patterns verified; NK and mast cells are absent from this dataset.	TRUE	5	PASS
PENG_CRA001160	Stellate cell	stellate/CAF	COL1A1;COL1A2;DCN;LUM;ACTA2;PDPN	none detected in marker-level audit	5907	35	SOURCE_SUPPORTED_MARKER_CONSISTENT	Marker expression patterns verified; NK and mast cells are absent from this dataset.	TRUE	6	PASS
PENG_CRA001160	T cell	T cell	CD3D;CD3E;TRAC;CD4;CD8A	none detected in marker-level audit	3660	33	SOURCE_SUPPORTED_MARKER_CONSISTENT	Marker expression patterns verified; NK and mast cells are absent from this dataset.	TRUE	5	PASS
