feature_name	bulk_evidence_category	coverage_fraction	coverage_eligibility	primary_cell_source	malignant_cell_support	cell_composition_result	reported_category	reviewed_category	classification_discrepancy	discrepancy_reason	independent_review_status	notes
HALLMARK_PROTEIN_SECRETION	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	0.979166666666667	ELIGIBLE	malignant_epithelial	SUPPORTED	malignant_epithelial_fraction;lymphoid_fraction	MALIGNANT_CELL_INTRINSIC_SUPPORT	MALIGNANT_CELL_INTRINSIC_SUPPORT	False		PASS	Feature satisfied coverage rules and was correctly classified.
HALLMARK_SPERMATOGENESIS	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	0.822222222222222	ELIGIBLE	B_cell	NOT_SUPPORTED_OR_UNDERPOWERED	fibroblast_caf_fraction	STROMAL_OR_IMMUNE_SOURCE_SUPPORTED	STROMAL_OR_IMMUNE_SOURCE_SUPPORTED	False		PASS	Feature satisfied coverage rules and was correctly classified.
MEblack	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	0.251851851851852	INELIGIBLE	B_cell	SUPPORTED	endothelial_fraction;malignant_epithelial_fraction;myeloid_fraction	STROMAL_OR_IMMUNE_SOURCE_SUPPORTED	INSUFFICIENT_SINGLE_CELL_DATA	True	Failed 80% coverage threshold but was incorrectly forced into formal inference and categorized.	FAIL	Inadequate-coverage feature. Must be classified as INSUFFICIENT_SINGLE_CELL_DATA.
MEblue	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	0.344175044352454	INELIGIBLE	malignant_epithelial	SUPPORTED	endothelial_fraction;malignant_epithelial_fraction;myeloid_fraction	MALIGNANT_CELL_INTRINSIC_SUPPORT	INSUFFICIENT_SINGLE_CELL_DATA	True	Failed 80% coverage threshold but was incorrectly forced into formal inference and categorized.	FAIL	Inadequate-coverage feature. Must be classified as INSUFFICIENT_SINGLE_CELL_DATA.
MEgreen	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	0.386407766990291	INELIGIBLE	malignant_epithelial	SUPPORTED	endothelial_fraction;malignant_epithelial_fraction	MALIGNANT_CELL_INTRINSIC_SUPPORT	INSUFFICIENT_SINGLE_CELL_DATA	True	Failed 80% coverage threshold but was incorrectly forced into formal inference and categorized.	FAIL	Inadequate-coverage feature. Must be classified as INSUFFICIENT_SINGLE_CELL_DATA.
MEtan	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	0.485436893203884	INELIGIBLE	myeloid	SUPPORTED	fibroblast_caf_fraction	STROMAL_OR_IMMUNE_SOURCE_SUPPORTED	INSUFFICIENT_SINGLE_CELL_DATA	True	Failed 80% coverage threshold but was incorrectly forced into formal inference and categorized.	FAIL	Inadequate-coverage feature. Must be classified as INSUFFICIENT_SINGLE_CELL_DATA.
MEgreenyellow	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	0.319277108433735	INELIGIBLE	nonmalignant_epithelial	NOT_SUPPORTED_OR_UNDERPOWERED	endothelial_fraction;fibroblast_caf_fraction;malignant_epithelial_fraction	CELL_COMPOSITION_EXPLAINED	INSUFFICIENT_SINGLE_CELL_DATA	True	Failed 80% coverage threshold but was incorrectly forced into formal inference and categorized.	FAIL	Inadequate-coverage feature. Must be classified as INSUFFICIENT_SINGLE_CELL_DATA.
CTCFL	EXTERNALLY_REPLICATED_HOST_FEATURE	0.925925925925926	ELIGIBLE	endothelial	NOT_SUPPORTED_OR_UNDERPOWERED	myeloid_fraction	CELL_COMPOSITION_EXPLAINED	CELL_COMPOSITION_EXPLAINED	False		PASS	Feature satisfied coverage rules and was correctly classified.
IRF3	EXTERNALLY_REPLICATED_HOST_FEATURE	0.878378378378378	ELIGIBLE	T_cell	NOT_SUPPORTED_OR_UNDERPOWERED	endothelial_fraction;lymphoid_fraction	STROMAL_OR_IMMUNE_SOURCE_SUPPORTED	STROMAL_OR_IMMUNE_SOURCE_SUPPORTED	False		PASS	Feature satisfied coverage rules and was correctly classified.
JUNB	EXTERNALLY_REPLICATED_HOST_FEATURE	1.0	ELIGIBLE	endothelial	NOT_SUPPORTED_OR_UNDERPOWERED	fibroblast_caf_fraction	CELL_COMPOSITION_EXPLAINED	CELL_COMPOSITION_EXPLAINED	False		PASS	Feature satisfied coverage rules and was correctly classified.
