dataset_id	patient_id	cell_type	number_of_cells	library_size	eligibility_observed	eligibility_expected	eligibility_agreement	independent_review_status	notes
PENG_CRA001160	N10	endothelial	255	1312061.0	ELIGIBLE	ELIGIBLE	True	PASS	Checked that cell count >= 20 corresponds to ELIGIBLE status.
PENG_CRA001160	N10	fibroblast_caf	27	158725.0	ELIGIBLE	ELIGIBLE	True	PASS	Checked that cell count >= 20 corresponds to ELIGIBLE status.
PENG_CRA001160	N10	myeloid	25	161228.0	ELIGIBLE	ELIGIBLE	True	PASS	Checked that cell count >= 20 corresponds to ELIGIBLE status.
PENG_CRA001160	N10	nonmalignant_epithelial	1236	10162160.0	ELIGIBLE	ELIGIBLE	True	PASS	Checked that cell count >= 20 corresponds to ELIGIBLE status.
PENG_CRA001160	N11	B_cell	1	1963.0	INELIGIBLE	INELIGIBLE	True	PASS	Checked that cell count >= 20 corresponds to ELIGIBLE status.
PENG_CRA001160	N11	T_cell	3	8371.0	INELIGIBLE	INELIGIBLE	True	PASS	Checked that cell count >= 20 corresponds to ELIGIBLE status.
PENG_CRA001160	N11	endothelial	769	2789937.0	ELIGIBLE	ELIGIBLE	True	PASS	Checked that cell count >= 20 corresponds to ELIGIBLE status.
PENG_CRA001160	N11	fibroblast_caf	67	243538.0	ELIGIBLE	ELIGIBLE	True	PASS	Checked that cell count >= 20 corresponds to ELIGIBLE status.
PENG_CRA001160	N11	myeloid	60	276722.0	ELIGIBLE	ELIGIBLE	True	PASS	Checked that cell count >= 20 corresponds to ELIGIBLE status.
PENG_CRA001160	N11	nonmalignant_epithelial	482	1779523.0	ELIGIBLE	ELIGIBLE	True	PASS	Checked that cell count >= 20 corresponds to ELIGIBLE status.
PENG_CRA001160	N1	B_cell	7	46071.0	INELIGIBLE	INELIGIBLE	True	PASS	Checked that cell count >= 20 corresponds to ELIGIBLE status.
PENG_CRA001160	N1	T_cell	10	47143.0	INELIGIBLE	INELIGIBLE	True	PASS	Checked that cell count >= 20 corresponds to ELIGIBLE status.
PENG_CRA001160	N1	endothelial	522	2906887.0	ELIGIBLE	ELIGIBLE	True	PASS	Checked that cell count >= 20 corresponds to ELIGIBLE status.
PENG_CRA001160	N1	fibroblast_caf	442	2405559.0	ELIGIBLE	ELIGIBLE	True	PASS	Checked that cell count >= 20 corresponds to ELIGIBLE status.
PENG_CRA001160	N1	myeloid	91	480126.0	ELIGIBLE	ELIGIBLE	True	PASS	Checked that cell count >= 20 corresponds to ELIGIBLE status.
PENG_CRA001160	N1	nonmalignant_epithelial	1751	14540869.0	ELIGIBLE	ELIGIBLE	True	PASS	Checked that cell count >= 20 corresponds to ELIGIBLE status.
PENG_CRA001160	N2	B_cell	6	41438.0	INELIGIBLE	INELIGIBLE	True	PASS	Checked that cell count >= 20 corresponds to ELIGIBLE status.
PENG_CRA001160	N2	T_cell	2	10608.0	INELIGIBLE	INELIGIBLE	True	PASS	Checked that cell count >= 20 corresponds to ELIGIBLE status.
PENG_CRA001160	N2	endothelial	314	1719455.0	ELIGIBLE	ELIGIBLE	True	PASS	Checked that cell count >= 20 corresponds to ELIGIBLE status.
PENG_CRA001160	N2	fibroblast_caf	226	1348735.0	ELIGIBLE	ELIGIBLE	True	PASS	Checked that cell count >= 20 corresponds to ELIGIBLE status.
PENG_CRA001160	N2	myeloid	111	621678.0	ELIGIBLE	ELIGIBLE	True	PASS	Checked that cell count >= 20 corresponds to ELIGIBLE status.
PENG_CRA001160	N2	nonmalignant_epithelial	1300	11161564.0	ELIGIBLE	ELIGIBLE	True	PASS	Checked that cell count >= 20 corresponds to ELIGIBLE status.
PENG_CRA001160	N3	B_cell	8	22208.0	INELIGIBLE	INELIGIBLE	True	PASS	Checked that cell count >= 20 corresponds to ELIGIBLE status.
PENG_CRA001160	N3	T_cell	2	3805.0	INELIGIBLE	INELIGIBLE	True	PASS	Checked that cell count >= 20 corresponds to ELIGIBLE status.
PENG_CRA001160	N3	endothelial	111	335637.0	ELIGIBLE	ELIGIBLE	True	PASS	Checked that cell count >= 20 corresponds to ELIGIBLE status.
PENG_CRA001160	N3	fibroblast_caf	93	216189.0	ELIGIBLE	ELIGIBLE	True	PASS	Checked that cell count >= 20 corresponds to ELIGIBLE status.
PENG_CRA001160	N3	myeloid	32	108799.0	ELIGIBLE	ELIGIBLE	True	PASS	Checked that cell count >= 20 corresponds to ELIGIBLE status.
PENG_CRA001160	N3	nonmalignant_epithelial	209	980507.0	ELIGIBLE	ELIGIBLE	True	PASS	Checked that cell count >= 20 corresponds to ELIGIBLE status.
PENG_CRA001160	N4	endothelial	205	1081680.0	ELIGIBLE	ELIGIBLE	True	PASS	Checked that cell count >= 20 corresponds to ELIGIBLE status.
PENG_CRA001160	N4	fibroblast_caf	44	204275.0	ELIGIBLE	ELIGIBLE	True	PASS	Checked that cell count >= 20 corresponds to ELIGIBLE status.
PENG_CRA001160	N4	nonmalignant_epithelial	725	6193837.0	ELIGIBLE	ELIGIBLE	True	PASS	Checked that cell count >= 20 corresponds to ELIGIBLE status.
PENG_CRA001160	N5	T_cell	1	2021.0	INELIGIBLE	INELIGIBLE	True	PASS	Checked that cell count >= 20 corresponds to ELIGIBLE status.
