feature_name	feature_family	composition_covariate	eligible_patients	coefficient	confidence_interval_low	confidence_interval_high	p_value	model_diagnostics	q_value	dataset_id	localization_interpretation
"HALLMARK_PROTEIN_SECRETION"	"Hallmark"	"endothelial_fraction"	35	-0.0240851707780611	-0.0550723893581062	0.00690204780198412	0.137177217051993	"HC3_OLS; residual_sd=0.01237"	0.274354434103987	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"HALLMARK_SPERMATOGENESIS"	"Hallmark"	"endothelial_fraction"	35	0.00282342443066981	-0.0348467424491675	0.0404935913105071	0.884101334375217	"HC3_OLS; residual_sd=0.01316"	0.884101334375217	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"CTCFL"	"externally replicated TF"	"endothelial_fraction"	35	1.06666354297949	-0.3319736580443	2.46530074400328	0.14447286802675	"HC3_OLS; residual_sd=0.3206"	0.288945736053499	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"IRF3"	"externally replicated TF"	"endothelial_fraction"	35	-1.59566659405344	-2.40488498888305	-0.786448199223839	0.000492956866824807	"HC3_OLS; residual_sd=0.4021"	0.00591548240189768	"PENG_CRA001160"	"PARTLY_EXPLAINED_BY_CELL_COMPOSITION"
"JUNB"	"externally replicated TF"	"endothelial_fraction"	35	-0.225570333983519	-0.925769575744456	0.474628907777418	0.532117476796792	"HC3_OLS; residual_sd=0.2857"	0.580491792869228	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"KLF13"	"externally replicated TF"	"endothelial_fraction"	35	-0.280749721913609	-0.992026792927155	0.430527349099937	0.444653169581299	"HC3_OLS; residual_sd=0.2446"	0.533583803497559	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"KLF9"	"externally replicated TF"	"endothelial_fraction"	35	1.54848132743909	-0.217337306886204	3.31429996176439	0.0950270805616596	"HC3_OLS; residual_sd=0.4377"	0.285081241684979	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"MNT"	"externally replicated TF"	"endothelial_fraction"	35	0.991300777576606	-0.237602086074829	2.22020364122804	0.12340652108007	"HC3_OLS; residual_sd=0.3417"	0.288945736053499	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"MXI1"	"externally replicated TF"	"endothelial_fraction"	35	-0.509062993715543	-1.72675405978315	0.708628072352067	0.418442843445225	"HC3_OLS; residual_sd=0.2419"	0.533583803497559	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"SNAI2"	"externally replicated TF"	"endothelial_fraction"	35	0.779741851824487	-0.384075781123682	1.94355948477266	0.198182864531113	"HC3_OLS; residual_sd=0.3726"	0.339742053481908	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"TFAP4"	"externally replicated TF"	"endothelial_fraction"	35	0.646713087108242	-0.569152950436877	1.86257912465336	0.304750881670518	"HC3_OLS; residual_sd=0.3"	0.457126322505778	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"TP63"	"externally replicated TF"	"endothelial_fraction"	35	-1.00364597307515	-1.87772038182354	-0.129571564326755	0.0311992300128858	"HC3_OLS; residual_sd=0.3144"	0.124796920051543	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"ZBTB7A"	"externally replicated TF"	"endothelial_fraction"	35	-0.465812956494675	-2.21059394643922	1.27896803344987	0.604281920390763	"HC3_OLS; residual_sd=0.5064"	0.604281920390763	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"ZNF24"	"externally replicated TF"	"endothelial_fraction"	35	1.00848393200324	0.368841545172803	1.64812631883369	0.00404434182993087	"HC3_OLS; residual_sd=0.2475"	0.0242660509795852	"PENG_CRA001160"	"PARTLY_EXPLAINED_BY_CELL_COMPOSITION"
"BHLHE40"	"partially replicated TF"	"endothelial_fraction"	35	1.33542449728681	0.202477944274651	2.46837105029897	0.0272661004916533	"HC3_OLS; residual_sd=0.4497"	0.096017963878249	"PENG_CRA001160"	"PARTLY_EXPLAINED_BY_CELL_COMPOSITION"
"E2F6"	"partially replicated TF"	"endothelial_fraction"	35	0.330906009196972	-0.253122550642089	0.914934569036034	0.274801210182543	"HC3_OLS; residual_sd=0.2789"	0.508552725591733	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"ELF1"	"partially replicated TF"	"endothelial_fraction"	35	0.203308788338881	-0.49766367512063	0.904281251798392	0.573561062751255	"HC3_OLS; residual_sd=0.2482"	0.745629381576631	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"GRHL2"	"partially replicated TF"	"endothelial_fraction"	35	-0.602508499044993	-1.5541503271058	0.34913332901581	0.223382860958948	"HC3_OLS; residual_sd=0.3859"	0.483996198744388	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"KLF1"	"partially replicated TF"	"endothelial_fraction"	35	-0.435532330138587	-1.38627312078599	0.515208460508813	0.375758304817259	"HC3_OLS; residual_sd=0.4121"	0.542761995847151	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"MBD1"	"partially replicated TF"	"endothelial_fraction"	35	0.172881765489198	-0.776980728722135	1.12274425970053	0.723561952599978	"HC3_OLS; residual_sd=0.2748"	0.783858781983309	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
