dataset_id	feature_layer	feature_name	bulk_evidence_category	single_cell_coverage	eligibility	eligible_patients	primary_cell_source	malignant_cell_association	composition_sensitivity	negative_control_support	final_category	classification_reason
"PENG_CRA001160"	"TF_regulon"	"BHLHE40"	"PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE"	0.96551724137931	"ELIGIBLE"	35	"B_cell"	"NOT_SUPPORTED_AT_Q0.10"	"endothelial_fraction;fibroblast_caf_fraction;malignant_epithelial_fraction"	"NEGATIVE_CONTROL_SENSITIVE"	"CELL_COMPOSITION_EXPLAINED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"TF_regulon"	"CTCFL"	"EXTERNALLY_REPLICATED_HOST_FEATURE"	0.925925925925926	"ELIGIBLE"	35	"endothelial"	"NOT_SUPPORTED_AT_Q0.10"	"myeloid_fraction"	"NEGATIVE_CONTROL_SENSITIVE"	"CELL_COMPOSITION_EXPLAINED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"TF_regulon"	"E2F6"	"PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE"	0.971014492753623	"ELIGIBLE"	35	"B_cell"	"NOT_SUPPORTED_AT_Q0.10"	"malignant_epithelial_fraction"	"NEGATIVE_CONTROL_SENSITIVE"	"CELL_COMPOSITION_EXPLAINED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"TF_regulon"	"ELF1"	"PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE"	0.941176470588235	"ELIGIBLE"	35	"endothelial"	"NOT_SUPPORTED_AT_Q0.10"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"	"NEGATIVE_CONTROL_SENSITIVE"	"STROMAL_OR_IMMUNE_SOURCE_SUPPORTED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"TF_regulon"	"GRHL2"	"PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE"	0.936708860759494	"ELIGIBLE"	35	"malignant_epithelial"	"NOT_SUPPORTED_AT_Q0.10"	"malignant_epithelial_fraction"	"NEGATIVE_CONTROL_SENSITIVE"	"CELL_COMPOSITION_EXPLAINED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"Hallmark"	"HALLMARK_PROTEIN_SECRETION"	"PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE"	0.979166666666667	"ELIGIBLE"	35	"malignant_epithelial"	"SUPPORTED"	"malignant_epithelial_fraction;lymphoid_fraction"	"NEGATIVE_CONTROL_SENSITIVE"	"MALIGNANT_CELL_INTRINSIC_SUPPORT"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"Hallmark"	"HALLMARK_SPERMATOGENESIS"	"PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE"	0.822222222222222	"ELIGIBLE"	35	"B_cell"	"NOT_SUPPORTED_AT_Q0.10"	"fibroblast_caf_fraction"	"NEGATIVE_CONTROL_SENSITIVE"	"CELL_COMPOSITION_EXPLAINED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"TF_regulon"	"IRF3"	"EXTERNALLY_REPLICATED_HOST_FEATURE"	0.878378378378378	"ELIGIBLE"	35	"T_cell"	"NOT_SUPPORTED_AT_Q0.10"	"endothelial_fraction;lymphoid_fraction"	"NEGATIVE_CONTROL_SENSITIVE"	"CELL_COMPOSITION_EXPLAINED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"TF_regulon"	"JUNB"	"EXTERNALLY_REPLICATED_HOST_FEATURE"	1	"ELIGIBLE"	35	"endothelial"	"NOT_SUPPORTED_AT_Q0.10"	"fibroblast_caf_fraction"	"NEGATIVE_CONTROL_SENSITIVE"	"CELL_COMPOSITION_EXPLAINED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"TF_regulon"	"KLF1"	"PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE"	0.901960784313725	"ELIGIBLE"	35	"endothelial"	"NOT_SUPPORTED_AT_Q0.10"	"fibroblast_caf_fraction"	"NEGATIVE_CONTROL_SENSITIVE"	"CELL_COMPOSITION_EXPLAINED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
