feature_name	feature_family	eligible_patients	primary_cell_source	highest_activity_cell_type	malignant_detectable	p_value	model_diagnostics	q_value	dataset_id	effect_direction	formal_inference_status
"HALLMARK_PROTEIN_SECRETION"	"Hallmark"	35	"malignant_epithelial"	"malignant_epithelial"	TRUE	9.62690481815922e-39	"patient_fixed_effect_model; residual_sd=0.009949"	1.92538096363184e-38	"PENG_CRA001160"	"cell_type_localization"	"ELIGIBLE_FEATURE_INFERENCE"
"HALLMARK_SPERMATOGENESIS"	"Hallmark"	35	"B_cell"	"B_cell"	TRUE	1.00734044778385e-21	"patient_fixed_effect_model; residual_sd=0.01492"	1.00734044778385e-21	"PENG_CRA001160"	"cell_type_localization"	"ELIGIBLE_FEATURE_INFERENCE"
"CTCFL"	"externally replicated TF"	35	"endothelial"	"endothelial"	TRUE	2.2634732202055e-57	"patient_fixed_effect_model; residual_sd=0.2529"	9.05389288082199e-57	"PENG_CRA001160"	"cell_type_localization"	"ELIGIBLE_FEATURE_INFERENCE"
"IRF3"	"externally replicated TF"	35	"T_cell"	"T_cell"	TRUE	1.53868899728334e-34	"patient_fixed_effect_model; residual_sd=0.2977"	2.30803349592501e-34	"PENG_CRA001160"	"cell_type_localization"	"ELIGIBLE_FEATURE_INFERENCE"
"JUNB"	"externally replicated TF"	35	"endothelial"	"endothelial"	TRUE	1.33485151819064e-26	"patient_fixed_effect_model; residual_sd=0.3147"	1.45620165620797e-26	"PENG_CRA001160"	"cell_type_localization"	"ELIGIBLE_FEATURE_INFERENCE"
"KLF13"	"externally replicated TF"	35	"nonmalignant_epithelial"	"nonmalignant_epithelial"	TRUE	3.69213045166292e-14	"patient_fixed_effect_model; residual_sd=0.2521"	3.69213045166292e-14	"PENG_CRA001160"	"cell_type_localization"	"ELIGIBLE_FEATURE_INFERENCE"
"KLF9"	"externally replicated TF"	35	"endothelial"	"endothelial"	TRUE	1.53587975708796e-68	"patient_fixed_effect_model; residual_sd=0.2998"	1.84305570850555e-67	"PENG_CRA001160"	"cell_type_localization"	"ELIGIBLE_FEATURE_INFERENCE"
"MNT"	"externally replicated TF"	35	"B_cell"	"B_cell"	TRUE	7.90659715141971e-43	"patient_fixed_effect_model; residual_sd=0.2706"	1.58131943028394e-42	"PENG_CRA001160"	"cell_type_localization"	"ELIGIBLE_FEATURE_INFERENCE"
"MXI1"	"externally replicated TF"	35	"T_cell"	"T_cell"	TRUE	3.14229225391468e-39	"patient_fixed_effect_model; residual_sd=0.2765"	5.38678672099659e-39	"PENG_CRA001160"	"cell_type_localization"	"ELIGIBLE_FEATURE_INFERENCE"
"SNAI2"	"externally replicated TF"	35	"B_cell"	"B_cell"	TRUE	2.11647995483906e-54	"patient_fixed_effect_model; residual_sd=0.2612"	6.34943986451718e-54	"PENG_CRA001160"	"cell_type_localization"	"ELIGIBLE_FEATURE_INFERENCE"
"TFAP4"	"externally replicated TF"	35	"malignant_epithelial"	"malignant_epithelial"	TRUE	1.661686016418e-50	"patient_fixed_effect_model; residual_sd=0.2701"	3.98804643940321e-50	"PENG_CRA001160"	"cell_type_localization"	"ELIGIBLE_FEATURE_INFERENCE"
