patient_id	major_cell_class	n_cells	median_library_size	median_detected_genes	median_mitochondrial_fraction	dataset_id
N1	B_cell	7	5463.0	1716.0	0.032582829946915616	PENG_CRA001160
N1	T_cell	10	4322.5	1806.5	0.07682217243192574	PENG_CRA001160
N1	endothelial	522	4519.5	1758.0	0.029989260135582813	PENG_CRA001160
N1	fibroblast_caf	442	4527.5	1654.5	0.03376569367233441	PENG_CRA001160
N1	myeloid	91	4694.0	1560.0	0.03443968593861527	PENG_CRA001160
N1	nonmalignant_epithelial	1751	5817.0	2199.0	0.0675303197353914	PENG_CRA001160
N10	endothelial	255	3976.0	1560.0	0.010473815461346634	PENG_CRA001160
N10	fibroblast_caf	27	5075.0	1910.0	0.018072996127215114	PENG_CRA001160
N10	myeloid	25	6456.0	2130.0	0.011188355420378014	PENG_CRA001160
N10	nonmalignant_epithelial	1236	5710.5	1965.5	0.03064719681355548	PENG_CRA001160
N11	B_cell	1	1963.0	1022.0	0.08303616912888435	PENG_CRA001160
N11	T_cell	3	2547.0	1169.0	0.09422850412249706	PENG_CRA001160
N11	endothelial	769	2940.0	1331.0	0.06843946815955214	PENG_CRA001160
N11	fibroblast_caf	67	2998.0	1306.0	0.06717171717171717	PENG_CRA001160
N11	myeloid	60	4010.0	1406.5	0.058006946160681055	PENG_CRA001160
N11	nonmalignant_epithelial	482	2644.0	1241.0	0.085831730447892	PENG_CRA001160
N2	B_cell	6	7016.0	1750.5	0.03830401699050223	PENG_CRA001160
N2	T_cell	2	5304.0	1853.5	0.05423608035808305	PENG_CRA001160
N2	endothelial	314	4546.0	1754.5	0.04737696917843407	PENG_CRA001160
N2	fibroblast_caf	226	4741.0	1702.5	0.043138832333160765	PENG_CRA001160
N2	myeloid	111	4692.0	1521.0	0.04446460980036298	PENG_CRA001160
N2	nonmalignant_epithelial	1300	6153.5	1736.0	0.073933915628008	PENG_CRA001160
N3	B_cell	8	2300.0	763.5	0.08672294762573213	PENG_CRA001160
N3	T_cell	2	1902.5	658.0	0.05697018640417777	PENG_CRA001160
N3	endothelial	111	2538.0	1158.0	0.061849710982658956	PENG_CRA001160
N3	fibroblast_caf	93	2124.0	851.0	0.06786102062975027	PENG_CRA001160
N3	myeloid	32	2748.0	915.5	0.050039640509153355	PENG_CRA001160
N3	nonmalignant_epithelial	209	2783.0	1152.0	0.08414766558089033	PENG_CRA001160
N4	endothelial	205	4279.0	1752.0	0.048576547879753136	PENG_CRA001160
N4	fibroblast_caf	44	4060.0	1574.5	0.052739792781851175	PENG_CRA001160
N4	nonmalignant_epithelial	725	5713.0	2194.0	0.08352578906851424	PENG_CRA001160
N5	T_cell	1	2021.0	839.0	0.050470064324591786	PENG_CRA001160
N5	endothelial	225	2541.0	1306.0	0.04367635506677141	PENG_CRA001160
N5	fibroblast_caf	34	3588.5	1521.0	0.053320429083881404	PENG_CRA001160
N5	myeloid	3	2232.0	1142.0	0.07078853046594982	PENG_CRA001160
N5	nonmalignant_epithelial	624	3445.5	1668.0	0.07948706679077475	PENG_CRA001160
N6	T_cell	4	2722.0	1136.0	0.048926679545572054	PENG_CRA001160
N6	endothelial	328	3420.5	1553.0	0.061462478100780954	PENG_CRA001160
N6	fibroblast_caf	133	3986.0	1597.0	0.0634441087613293	PENG_CRA001160
N6	myeloid	7	4790.0	1782.0	0.0721243042671614	PENG_CRA001160
N6	nonmalignant_epithelial	246	4887.5	1957.0	0.08546683850119258	PENG_CRA001160
N7	T_cell	8	4865.0	1850.0	0.05562768321433096	PENG_CRA001160
N7	endothelial	203	4227.0	1732.0	0.04412811387900356	PENG_CRA001160
N7	fibroblast_caf	66	4230.5	1620.5	0.046912003336530506	PENG_CRA001160
N7	myeloid	7	4040.0	1335.0	0.03560327776207969	PENG_CRA001160
N7	nonmalignant_epithelial	831	5327.0	2000.0	0.06934470377019748	PENG_CRA001160
N8	B_cell	3	7307.0	1844.0	0.0551525934035856	PENG_CRA001160
N8	T_cell	10	3859.5	1175.5	0.06472400304121123	PENG_CRA001160
N8	endothelial	357	5398.0	1980.0	0.06852343059239611	PENG_CRA001160
N8	fibroblast_caf	254	5604.0	1896.5	0.057720481255691916	PENG_CRA001160
N8	myeloid	105	7584.0	2072.0	0.04763016577165538	PENG_CRA001160
N8	nonmalignant_epithelial	491	7353.0	2376.0	0.07257304429783223	PENG_CRA001160
N9	B_cell	6	8013.0	1906.5	0.03449665130292824	PENG_CRA001160
N9	T_cell	4	4391.0	1848.0	0.08114802863364176	PENG_CRA001160
N9	endothelial	694	5761.0	2207.0	0.05412661010506285	PENG_CRA001160
N9	fibroblast_caf	177	4592.0	1734.0	0.041569459172852596	PENG_CRA001160
N9	myeloid	118	5524.0	1711.0	0.0480857480667885	PENG_CRA001160
N9	nonmalignant_epithelial	1469	5990.0	2042.0	0.07471264367816093	PENG_CRA001160
T1	B_cell	18	2376.5	916.5	0.02684158011966393	PENG_CRA001160
T1	T_cell	63	2378.0	1002.0	0.024912587412587412	PENG_CRA001160
T1	endothelial	321	4004.0	1754.0	0.027777777777777776	PENG_CRA001160
T1	fibroblast_caf	176	3028.5	1354.0	0.028188781313281917	PENG_CRA001160
T1	malignant_epithelial	431	5726.0	2274.0	0.04840103716508211	PENG_CRA001160
T1	myeloid	115	2951.0	1233.0	0.029484029484029485	PENG_CRA001160
T1	nonmalignant_epithelial	47	7869.0	2156.0	0.07472270869819031	PENG_CRA001160
T10	B_cell	124	2837.0	973.5	0.0577947867101682	PENG_CRA001160
T10	T_cell	151	2856.0	1141.0	0.05859030837004405	PENG_CRA001160
T10	endothelial	127	5456.0	2246.0	0.06718464351005485	PENG_CRA001160
T10	fibroblast_caf	270	4556.0	1788.0	0.06720335212410324	PENG_CRA001160
T10	malignant_epithelial	92	8009.5	2682.0	0.08076176810853039	PENG_CRA001160
T10	myeloid	51	4297.0	1634.0	0.07040572792362769	PENG_CRA001160
T10	nonmalignant_epithelial	13	7055.0	2573.0	0.06422128683102826	PENG_CRA001160
T11	B_cell	2	3653.5	1328.0	0.03986056000734626	PENG_CRA001160
T11	T_cell	133	4043.0	1431.0	0.030097817908201655	PENG_CRA001160
T11	endothelial	44	5779.0	2197.0	0.03752815582216257	PENG_CRA001160
T11	fibroblast_caf	2152	7511.5	2311.5	0.027461903584761978	PENG_CRA001160
T11	malignant_epithelial	212	12674.0	3261.0	0.047071723940923724	PENG_CRA001160
T11	myeloid	452	6087.5	1774.0	0.031711387173999246	PENG_CRA001160
T11	nonmalignant_epithelial	147	7560.0	2618.0	0.06082154671667839	PENG_CRA001160
T12	B_cell	590	6191.0	1998.0	0.030231229414532497	PENG_CRA001160
T12	T_cell	410	4062.0	1345.0	0.031994120247321935	PENG_CRA001160
