sample_id	patient_id	cell_type	tumor_control_status	HALLMARK_PROTEIN_SECRETION	HALLMARK_SPERMATOGENESIS	dataset_id
"N10|endothelial"	"N10"	"endothelial"	"CONTROL_PANCREAS"	0.653446972602507	0.0827920039528457	"PENG_CRA001160"
"N10|fibroblast_caf"	"N10"	"fibroblast_caf"	"CONTROL_PANCREAS"	0.62672074041262	0.0616178471481555	"PENG_CRA001160"
"N10|myeloid"	"N10"	"myeloid"	"CONTROL_PANCREAS"	0.64498295093991	0.098667681840763	"PENG_CRA001160"
"N10|nonmalignant_epithelial"	"N10"	"nonmalignant_epithelial"	"CONTROL_PANCREAS"	0.661230402062365	0.0912555898616258	"PENG_CRA001160"
"N11|endothelial"	"N11"	"endothelial"	"CONTROL_PANCREAS"	0.644347552760108	0.074718975508664	"PENG_CRA001160"
"N11|fibroblast_caf"	"N11"	"fibroblast_caf"	"CONTROL_PANCREAS"	0.625240677723313	0.0675647812184267	"PENG_CRA001160"
"N11|myeloid"	"N11"	"myeloid"	"CONTROL_PANCREAS"	0.638752717006345	0.0604770584010768	"PENG_CRA001160"
"N11|nonmalignant_epithelial"	"N11"	"nonmalignant_epithelial"	"CONTROL_PANCREAS"	0.649598325301042	0.103417813164967	"PENG_CRA001160"
"N1|endothelial"	"N1"	"endothelial"	"CONTROL_PANCREAS"	0.637422568881377	0.0961398701443925	"PENG_CRA001160"
"N1|fibroblast_caf"	"N1"	"fibroblast_caf"	"CONTROL_PANCREAS"	0.653780136563026	0.0954096848527405	"PENG_CRA001160"
"N1|myeloid"	"N1"	"myeloid"	"CONTROL_PANCREAS"	0.646521978885384	0.0807374897785521	"PENG_CRA001160"
"N1|nonmalignant_epithelial"	"N1"	"nonmalignant_epithelial"	"CONTROL_PANCREAS"	0.655983089096263	0.112985051699513	"PENG_CRA001160"
"N2|endothelial"	"N2"	"endothelial"	"CONTROL_PANCREAS"	0.64103373712447	0.075188965016142	"PENG_CRA001160"
"N2|fibroblast_caf"	"N2"	"fibroblast_caf"	"CONTROL_PANCREAS"	0.646295443595705	0.0686136883268775	"PENG_CRA001160"
"N2|myeloid"	"N2"	"myeloid"	"CONTROL_PANCREAS"	0.647574763871819	0.0709907459539167	"PENG_CRA001160"
