dataset_id	feature_name	bulk_evidence_category	eligibility	regulon_targets_expected	targets_present	regulon_target_coverage	activity_calculation_status	primary_cell_source	malignant_cell_association	coefficient	confidence_interval_low	confidence_interval_high	p_value	q_value	composition_sensitivity	negative_control_support	evidence_category	classification_reason
"PENG_CRA001160"	"BHLHE40"	"PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE"	"ELIGIBLE"	58	56	0.96551724137931	"EXECUTED"	"B_cell"	"NOT_SUPPORTED_AT_Q0.10"	-0.0463594611393541	-0.195526004221695	0.102807081942987	0.54866566225448	0.716597389956531	"endothelial_fraction;fibroblast_caf_fraction;malignant_epithelial_fraction"	"NEGATIVE_CONTROL_SENSITIVE"	"CELL_COMPOSITION_EXPLAINED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"CTCFL"	"EXTERNALLY_REPLICATED_HOST_FEATURE"	"ELIGIBLE"	54	50	0.925925925925926	"EXECUTED"	"endothelial"	"NOT_SUPPORTED_AT_Q0.10"	0.0170004710661415	-0.194237636563357	0.22823857869564	0.876099703210901	0.922949022608732	"myeloid_fraction"	"NEGATIVE_CONTROL_SENSITIVE"	"CELL_COMPOSITION_EXPLAINED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"E2F6"	"PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE"	"ELIGIBLE"	69	67	0.971014492753623	"EXECUTED"	"B_cell"	"NOT_SUPPORTED_AT_Q0.10"	-0.0461990712062994	-0.122600082299823	0.0302019398872244	0.248584895120601	0.716597389956531	"malignant_epithelial_fraction"	"NEGATIVE_CONTROL_SENSITIVE"	"CELL_COMPOSITION_EXPLAINED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"ELF1"	"PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE"	"ELIGIBLE"	51	48	0.941176470588235	"EXECUTED"	"endothelial"	"NOT_SUPPORTED_AT_Q0.10"	-0.0633171333834339	-0.224701312695889	0.0980670459290215	0.450081113339997	0.716597389956531	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"	"NEGATIVE_CONTROL_SENSITIVE"	"STROMAL_OR_IMMUNE_SOURCE_SUPPORTED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"GRHL2"	"PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE"	"ELIGIBLE"	79	74	0.936708860759494	"EXECUTED"	"malignant_epithelial"	"NOT_SUPPORTED_AT_Q0.10"	0.06279061126191	-0.141440042971377	0.267021265495196	0.552935583727265	0.716597389956531	"malignant_epithelial_fraction"	"NEGATIVE_CONTROL_SENSITIVE"	"CELL_COMPOSITION_EXPLAINED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"IRF3"	"EXTERNALLY_REPLICATED_HOST_FEATURE"	"ELIGIBLE"	74	65	0.878378378378378	"EXECUTED"	"T_cell"	"NOT_SUPPORTED_AT_Q0.10"	0.069959283336668	-0.0288797961571486	0.168798362830485	0.179242684240586	0.537728052721758	"endothelial_fraction;lymphoid_fraction"	"NEGATIVE_CONTROL_SENSITIVE"	"CELL_COMPOSITION_EXPLAINED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"JUNB"	"EXTERNALLY_REPLICATED_HOST_FEATURE"	"ELIGIBLE"	52	52	1	"EXECUTED"	"endothelial"	"NOT_SUPPORTED_AT_Q0.10"	0.114229198820696	-0.0411508434097289	0.26960924105112	0.16369134801265	0.537728052721758	"fibroblast_caf_fraction"	"NEGATIVE_CONTROL_SENSITIVE"	"CELL_COMPOSITION_EXPLAINED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"KLF1"	"PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE"	"ELIGIBLE"	51	46	0.901960784313725	"EXECUTED"	"endothelial"	"NOT_SUPPORTED_AT_Q0.10"	0.0391306951711305	-0.107577135859466	0.185838526201727	0.606351637655526	0.716597389956531	"fibroblast_caf_fraction"	"NEGATIVE_CONTROL_SENSITIVE"	"CELL_COMPOSITION_EXPLAINED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"KLF13"	"EXTERNALLY_REPLICATED_HOST_FEATURE"	"ELIGIBLE"	31	30	0.967741935483871	"EXECUTED"	"nonmalignant_epithelial"	"NOT_SUPPORTED_AT_Q0.10"	-0.095303513739187	-0.246479290141401	0.055872262663027	0.229634294582795	0.551122306998709	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"	"NEGATIVE_CONTROL_SENSITIVE"	"NOT_SUPPORTED_AT_CELLULAR_LEVEL"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"KLF9"	"EXTERNALLY_REPLICATED_HOST_FEATURE"	"ELIGIBLE"	68	66	0.970588235294118	"EXECUTED"	"endothelial"	"NOT_SUPPORTED_AT_Q0.10"	0.0321413434386321	-0.233495737162624	0.297778424039889	0.81473137774062	0.922949022608732	"myeloid_fraction;lymphoid_fraction"	"NEGATIVE_CONTROL_SENSITIVE"	"CELL_COMPOSITION_EXPLAINED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"MBD1"	"PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE"	"ELIGIBLE"	44	43	0.977272727272727	"EXECUTED"	"fibroblast_caf"	"NOT_SUPPORTED_AT_Q0.10"	0.0581250836508751	-0.0106659897160414	0.126916157017792	0.111896336491166	0.716597389956531	"lymphoid_fraction"	"NEGATIVE_CONTROL_SENSITIVE"	"CELL_COMPOSITION_EXPLAINED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"MBD2"	"PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE"	"ELIGIBLE"	32	28	0.875	"EXECUTED"	"endothelial"	"NOT_SUPPORTED_AT_Q0.10"	0.065472270095524	-0.0474738438029328	0.178418383993981	0.268112263963432	0.716597389956531	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"	"NEGATIVE_CONTROL_SENSITIVE"	"STROMAL_OR_IMMUNE_SOURCE_SUPPORTED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
