dataset_id	control_type	control_id	iteration	null_statistic	seed
HWANG_GSE202051_NAIVE	coordinate permutation	HALLMARK_PROTEIN_SECRETION	1	-0.011558975079040388	2026
HWANG_GSE202051_NAIVE	coordinate permutation	HALLMARK_PROTEIN_SECRETION	2	-0.01127616873117745	2026
HWANG_GSE202051_NAIVE	coordinate permutation	HALLMARK_PROTEIN_SECRETION	3	-0.009990425171872484	2026
HWANG_GSE202051_NAIVE	coordinate permutation	HALLMARK_PROTEIN_SECRETION	4	-0.01268060861495421	2026
HWANG_GSE202051_NAIVE	coordinate permutation	HALLMARK_PROTEIN_SECRETION	5	-0.01364011061415824	2026
HWANG_GSE202051_NAIVE	coordinate permutation	HALLMARK_PROTEIN_SECRETION	6	-0.01512589384590038	2026
HWANG_GSE202051_NAIVE	coordinate permutation	HALLMARK_PROTEIN_SECRETION	7	-0.007106421272927027	2026
HWANG_GSE202051_NAIVE	coordinate permutation	HALLMARK_PROTEIN_SECRETION	8	-0.010413941297865287	2026
HWANG_GSE202051_NAIVE	coordinate permutation	HALLMARK_PROTEIN_SECRETION	9	-0.010764879676834913	2026
HWANG_GSE202051_NAIVE	coordinate permutation	HALLMARK_PROTEIN_SECRETION	10	-0.014797633193572742	2026
HWANG_GSE202051_NAIVE	coordinate permutation	HALLMARK_PROTEIN_SECRETION	11	-0.012722732456836298	2026
HWANG_GSE202051_NAIVE	coordinate permutation	HALLMARK_PROTEIN_SECRETION	12	-0.01226161157810813	2026
HWANG_GSE202051_NAIVE	coordinate permutation	HALLMARK_PROTEIN_SECRETION	13	-0.013589990269397337	2026
HWANG_GSE202051_NAIVE	coordinate permutation	HALLMARK_PROTEIN_SECRETION	14	-0.014703765570346977	2026
HWANG_GSE202051_NAIVE	coordinate permutation	HALLMARK_PROTEIN_SECRETION	15	-0.013867431295266023	2026
HWANG_GSE202051_NAIVE	coordinate permutation	HALLMARK_PROTEIN_SECRETION	16	-0.009369806082415034	2026
HWANG_GSE202051_NAIVE	coordinate permutation	HALLMARK_PROTEIN_SECRETION	17	-0.015389732734987675	2026
HWANG_GSE202051_NAIVE	coordinate permutation	HALLMARK_PROTEIN_SECRETION	18	-0.01399953695951634	2026
HWANG_GSE202051_NAIVE	coordinate permutation	HALLMARK_PROTEIN_SECRETION	19	-0.011376695801775168	2026
HWANG_GSE202051_NAIVE	coordinate permutation	HALLMARK_PROTEIN_SECRETION	20	-0.01098191121937032	2026
HWANG_GSE202051_NAIVE	coordinate permutation	HALLMARK_PROTEIN_SECRETION	21	-0.014671984458823036	2026
HWANG_GSE202051_NAIVE	coordinate permutation	HALLMARK_PROTEIN_SECRETION	22	-0.008887252762039074	2026
HWANG_GSE202051_NAIVE	coordinate permutation	HALLMARK_PROTEIN_SECRETION	23	-0.01684559458041314	2026
HWANG_GSE202051_NAIVE	coordinate permutation	HALLMARK_PROTEIN_SECRETION	24	-0.012888975930511234	2026
HWANG_GSE202051_NAIVE	coordinate permutation	HALLMARK_PROTEIN_SECRETION	25	-0.011614973729769933	2026
HWANG_GSE202051_NAIVE	coordinate permutation	HALLMARK_PROTEIN_SECRETION	26	-0.014359794191713923	2026
