dataset_id	control_type	control_id	observed_statistic	iterations	seed	null_mean	null_variance	empirical_p_value	significant	execution_status	notes
HWANG_GSE202051_NAIVE	coordinate permutation	HALLMARK_PROTEIN_SECRETION	-0.009003404703988138	1000	2026	-0.01246523829550821	4.47525806626045e-06	0.952047952047952	False	EXECUTED	Moffitt50 contrast permuted within Hwang section before tumor-axis coefficient calculation
HWANG_GSE202051_NAIVE	label permutation	HALLMARK_PROTEIN_SECRETION	0.04758322695507528	1000	2026	0.0005164147760521273	1.728148284144349e-05	0.000999000999000999	True	EXECUTED	tumor/stroma labels permuted within patient
HWANG_GSE202051_NAIVE	size-matched random gene set	HALLMARK_PROTEIN_SECRETION	-0.009003404703988138	100	2026	-0.00012293726538232226	2.377175814459927e-05	0.06930693069306931	False	EXECUTED	random sets matched to primary target gene count
HWANG_GSE202051_NAIVE	expression-matched random gene set	HALLMARK_PROTEIN_SECRETION	-0.009003404703988138	100	2026	0.00212594068977346	2.6715646924671633e-05	0.12871287128712872	False	EXECUTED	random sets matched by median-expression decile
HWANG_GSE202051_NAIVE	unrelated Hallmark pathway	HALLMARK_BILE_ACID_METABOLISM	-0.0021331339862871047	100	2026	0.001223690657327621	8.318563429732529e-06	0.45544554455445546	False	EXECUTED	available genes from unrelated Hallmark scored only as a negative-control feature
HWANG_GSE202051_NAIVE	unrelated Hallmark pathway	HALLMARK_HEME_METABOLISM	-0.0025829529554483297	100	2026	-0.0044374819284376	3.166684128693389e-06	0.8316831683168316	False	EXECUTED	available genes from unrelated Hallmark scored only as a negative-control feature
HWANG_GSE202051_NAIVE	leakage control	HALLMARK_PROTEIN_SECRETION	0.012658227848101266	100	2026	0.00189873417721519	2.0635776123678697e-05	0.15841584158415842	False	EXECUTED	target-gene overlap with Moffitt axis and morphology-label tokens compared with random gene sets
HWANG_GSE202051_TREATED	coordinate permutation	HALLMARK_PROTEIN_SECRETION	-0.015369971925020294	1000	2026	-0.014449890329218078	2.5568640227782603e-05	0.43756243756243757	False	EXECUTED	Moffitt50 contrast permuted within Hwang section before tumor-axis coefficient calculation
HWANG_GSE202051_TREATED	label permutation	HALLMARK_PROTEIN_SECRETION	0.04806218426149286	1000	2026	-0.0004672367022519462	3.428416705090147e-05	0.000999000999000999	True	EXECUTED	tumor/stroma labels permuted within patient
HWANG_GSE202051_TREATED	size-matched random gene set	HALLMARK_PROTEIN_SECRETION	-0.015369971925020294	100	2026	0.0006766991491559696	3.46282986305714e-05	0.009900990099009901	True	EXECUTED	random sets matched to primary target gene count
HWANG_GSE202051_TREATED	expression-matched random gene set	HALLMARK_PROTEIN_SECRETION	-0.015369971925020294	100	2026	0.003007415046470123	2.9711964688695924e-05	0.019801980198019802	True	EXECUTED	random sets matched by median-expression decile
HWANG_GSE202051_TREATED	unrelated Hallmark pathway	HALLMARK_BILE_ACID_METABOLISM	-0.0034001868516864353	100	2026	-0.0027523731874351713	1.8637445319853466e-05	0.504950495049505	False	EXECUTED	available genes from unrelated Hallmark scored only as a negative-control feature
HWANG_GSE202051_TREATED	unrelated Hallmark pathway	HALLMARK_HEME_METABOLISM	0.006337763606908992	100	2026	0.004119142855973952	7.4966085481729e-06	0.2376237623762376	False	EXECUTED	available genes from unrelated Hallmark scored only as a negative-control feature
HWANG_GSE202051_TREATED	leakage control	HALLMARK_PROTEIN_SECRETION	0.012658227848101266	100	2026	0.003164556962025317	3.3583714083633966e-05	0.24752475247524752	False	EXECUTED	target-gene overlap with Moffitt axis and morphology-label tokens compared with random gene sets
